x_m,y_m
-0.764,-6.825
-0.714,-6.875
-0.664,-6.875
-0.614,-6.875
-0.564,-6.875
-0.514,-6.875
-0.464,-6.875
-0.414,-6.875
-0.364,-6.875
-0.314,-6.875
-0.264,-6.875
-0.214,-6.875
-0.164,-6.875
-0.114,-6.875
-0.064,-6.875
-0.014,-6.875
0.036,-6.875
0.086,-6.875
0.136,-6.875
0.186,-6.875
0.236,-6.875
0.286,-6.875
0.336,-6.875
0.386,-6.875
0.436,-6.875
0.486,-6.875
0.536,-6.875
0.586,-6.875
0.636,-6.875
0.686,-6.875
0.736,-6.875
0.786,-6.875
0.836,-6.875
0.886,-6.875
0.936,-6.875
0.986,-6.875
1.036,-6.875
1.086,-6.875
1.136,-6.875
1.186,-6.875
1.236,-6.875
1.286,-6.875
1.336,-6.825
1.386,-6.825
1.436,-6.825
1.486,-6.825
1.536,-6.825
1.586,-6.825
1.636,-6.825
1.686,-6.825
1.736,-6.825
1.786,-6.775
1.836,-6.775
1.886,-6.775
1.936,-6.775
1.986,-6.775
2.036,-6.725
2.086,-6.725
2.136,-6.725
2.186,-6.725
2.236,-6.725
2.286,-6.725
2.336,-6.675
2.386,-6.675
2.436,-6.625
2.486,-6.625
2.536,-6.575
2.586,-6.575
2.636,-6.525
2.686,-6.525
2.736,-6.475
2.786,-6.425
2.836,-6.425
2.886,-6.375
2.936,-6.375
2.986,-6.325
3.036,-6.275
3.086,-6.225
3.136,-6.225
3.186,-6.175
3.236,-6.125
3.286,-6.075
3.336,-6.075
3.386,-6.025
3.436,-5.975
3.486,-5.925
3.536,-5.875
3.586,-5.875
3.636,-5.825
3.686,-5.775
3.736,-5.725
3.786,-5.675
3.836,-5.625
3.836,-5.575
3.886,-5.525
3.936,-5.475
3.986,-5.425
4.036,-5.375
4.086,-5.325
4.136,-5.275
4.136,-5.225
4.186,-5.175
4.236,-5.125
4.286,-5.075
4.286,-5.025
4.336,-4.975
4.386,-4.925
4.386,-4.875
4.436,-4.825
4.436,-4.775
4.486,-4.725
4.486,-4.675
4.536,-4.625
4.536,-4.575
4.536,-4.525
4.586,-4.475
4.586,-4.425
4.636,-4.375
4.636,-4.325
4.636,-4.275
4.686,-4.225
4.686,-4.175
4.736,-4.125
4.736,-4.075
4.736,-4.025
4.786,-3.975
4.786,-3.925
4.786,-3.875
4.786,-3.825
4.836,-3.775
4.836,-3.725
4.836,-3.675
4.886,-3.625
4.886,-3.575
4.886,-3.525
4.886,-3.475
4.886,-3.425
4.886,-3.375
4.886,-3.325
4.886,-3.275
4.886,-3.225
4.936,-3.175
4.936,-3.125
4.936,-3.075
4.936,-3.025
4.936,-2.975
4.886,-2.925
4.836,-2.875
4.786,-2.875
4.736,-2.875
4.686,-2.875
4.636,-2.925
4.636,-2.975
4.586,-3.025
4.586,-3.075
4.586,-3.125
4.536,-3.175
4.536,-3.225
4.536,-3.275
4.536,-3.325
4.536,-3.375
4.486,-3.425
4.486,-3.475
4.486,-3.525
4.486,-3.575
4.486,-3.625
4.486,-3.675
4.436,-3.725
4.436,-3.775
4.436,-3.825
4.386,-3.875
4.386,-3.925
4.386,-3.975
4.336,-4.025
4.336,-4.075
4.336,-4.125
4.286,-4.175
4.286,-4.225
4.236,-4.275
4.236,-4.325
4.236,-4.375
4.186,-4.425
4.186,-4.475
4.136,-4.525
4.136,-4.575
4.136,-4.625
4.086,-4.675
4.036,-4.725
4.036,-4.775
3.986,-4.825
3.986,-4.875
3.936,-4.925
3.886,-4.975
3.836,-5.025
3.836,-5.075
3.786,-5.125
3.736,-5.175
3.686,-5.225
3.636,-5.275
3.636,-5.325
3.586,-5.375
3.536,-5.425
3.486,-5.475
3.436,-5.475
3.386,-5.525
3.336,-5.575
3.286,-5.625
3.236,-5.675
3.186,-5.725
3.136,-5.725
3.086,-5.775
3.036,-5.825
2.986,-5.825
2.936,-5.875
2.886,-5.925
2.836,-5.925
2.786,-5.975
2.736,-6.025
2.686,-6.075
2.636,-6.075
2.586,-6.125
2.536,-6.175
2.486,-6.175
2.436,-6.225
2.386,-6.275
2.336,-6.275
2.286,-6.325
2.236,-6.325
2.186,-6.375
2.136,-6.375
2.086,-6.375
2.036,-6.425
1.986,-6.425
1.936,-6.425
1.886,-6.425
1.836,-6.425
1.786,-6.425
1.736,-6.425
1.686,-6.425
1.636,-6.425
1.586,-6.425
1.536,-6.425
1.486,-6.425
1.436,-6.425
1.386,-6.475
1.336,-6.475
1.286,-6.475
1.236,-6.475
1.186,-6.475
1.136,-6.475
1.086,-6.475
1.036,-6.475
0.986,-6.475
0.936,-6.475
0.886,-6.475
0.836,-6.475
0.786,-6.475
0.736,-6.475
0.686,-6.475
0.636,-6.475
0.586,-6.475
0.536,-6.475
0.486,-6.475
0.436,-6.475
0.386,-6.475
0.336,-6.475
0.336,-6.425
0.336,-6.375
0.286,-6.325
0.236,-6.275
0.186,-6.225
0.136,-6.175
0.086,-6.125
0.036,-6.075
-0.014,-6.025
-0.064,-5.975
-0.114,-5.925
-0.164,-5.875
-0.214,-5.825
-0.264,-5.775
-0.314,-5.725
-0.364,-5.675
-0.414,-5.625
-0.464,-5.575
-0.514,-5.575
-0.564,-5.525
-0.614,-5.475
-0.664,-5.425
-0.714,-5.375
-0.764,-5.325
-0.814,-5.325
-0.864,-5.275
-0.914,-5.275
-0.964,-5.225
-1.014,-5.175
-1.064,-5.175
-1.114,-5.125
-1.164,-5.125
-1.214,-5.075
-1.264,-5.075
-1.314,-5.075
-1.364,-5.025
-1.414,-5.025
-1.464,-4.975
-1.514,-4.975
-1.564,-4.975
-1.614,-4.975
-1.664,-4.925
-1.714,-4.925
-1.764,-4.925
-1.814,-4.925
-1.864,-4.925
-1.914,-4.925
-1.964,-4.925
-2.014,-4.925
-2.064,-4.925
-2.114,-4.925
-2.164,-4.925
-2.214,-4.925
-2.264,-4.925
-2.314,-4.975
-2.364,-4.975
-2.414,-4.975
-2.464,-5.025
-2.514,-5.025
-2.564,-5.025
-2.614,-5.025
-2.664,-5.075
-2.714,-5.075
-2.764,-5.075
-2.814,-5.125
-2.864,-5.125
-2.914,-5.175
-2.964,-5.225
-3.014,-5.225
-3.064,-5.275
-3.114,-5.275
-3.164,-5.325
-3.214,-5.325
-3.264,-5.375
-3.314,-5.425
-3.364,-5.425
-3.414,-5.425
-3.464,-5.425
-3.514,-5.425
-3.564,-5.425
-3.614,-5.425
-3.664,-5.425
-3.714,-5.425
-3.764,-5.425
-3.764,-5.375
-3.764,-5.325
-3.764,-5.275
-3.764,-5.225
-3.814,-5.175
-3.864,-5.175
-3.914,-5.125
-3.964,-5.125
-4.014,-5.175
-4.064,-5.175
-4.114,-5.225
-4.114,-5.275
-4.114,-5.325
-4.114,-5.375
-4.114,-5.425
-4.114,-5.475
-4.114,-5.525
-4.114,-5.575
-4.114,-5.625
-4.114,-5.675
-4.114,-5.725
-4.114,-5.775
-4.164,-5.775
-4.214,-5.775
-4.264,-5.775
-4.314,-5.775
-4.364,-5.775
-4.414,-5.775
-4.464,-5.775
-4.514,-5.775
-4.564,-5.775
-4.614,-5.725
-4.664,-5.725
-4.714,-5.725
-4.764,-5.675
-4.814,-5.675
-4.864,-5.675
-4.914,-5.625
-4.964,-5.625
-5.014,-5.575
-5.064,-5.575
-5.114,-5.525
-5.164,-5.525
-5.214,-5.475
-5.264,-5.475
-5.314,-5.425
-5.364,-5.425
-5.414,-5.375
-5.464,-5.325
-5.514,-5.325
-5.564,-5.275
-5.614,-5.275
-5.664,-5.225
-5.714,-5.225
-5.764,-5.175
-5.814,-5.175
-5.864,-5.125
-5.914,-5.125
-5.964,-5.075
-6.014,-5.025
-6.064,-5.025
-6.114,-4.975
-6.164,-4.925
-6.214,-4.925
-6.264,-4.875
-6.314,-4.875
-6.364,-4.825
-6.414,-4.775
-6.464,-4.775
-6.514,-4.725
-6.564,-4.725
-6.614,-4.675
-6.664,-4.625
-6.714,-4.625
-6.764,-4.575
-6.814,-4.525
-6.864,-4.525
-6.914,-4.475
-6.964,-4.425
-7.014,-4.375
-7.064,-4.375
-7.114,-4.325
-7.164,-4.275
-7.214,-4.275
-7.264,-4.225
-7.314,-4.175
-7.364,-4.125
-7.414,-4.125
-7.464,-4.075
-7.514,-4.025
-7.564,-4.025
-7.614,-3.975
-7.664,-3.975
-7.714,-3.975
-7.764,-3.975
-7.814,-3.925
-7.814,-3.875
-7.814,-3.825
-7.864,-3.775
-7.914,-3.725
-7.964,-3.675
-8.014,-3.675
-8.064,-3.625
-8.114,-3.625
-8.164,-3.575
-8.214,-3.525
-8.264,-3.525
-8.314,-3.475
-8.364,-3.425
-8.414,-3.375
-8.464,-3.375
-8.514,-3.325
-8.564,-3.275
-8.614,-3.225
-8.664,-3.175
-8.714,-3.125
-8.714,-3.075
-8.764,-3.025
-8.814,-2.975
-8.864,-2.925
-8.864,-2.875
-8.914,-2.825
-8.964,-2.775
-8.964,-2.725
-9.014,-2.675
-9.064,-2.625
-9.114,-2.575
-9.114,-2.525
-9.164,-2.475
-9.214,-2.425
-9.214,-2.375
-9.264,-2.325
-9.314,-2.275
-9.314,-2.225
-9.314,-2.175
-9.364,-2.125
-9.364,-2.075
-9.364,-2.025
-9.414,-1.975
-9.414,-1.925
-9.414,-1.875
-9.414,-1.825
-9.414,-1.775
-9.464,-1.725
-9.464,-1.675
-9.464,-1.625
-9.464,-1.575
-9.514,-1.525
-9.514,-1.475
-9.514,-1.425
-9.514,-1.375
-9.514,-1.325
-9.564,-1.275
-9.564,-1.225
-9.564,-1.175
-9.564,-1.125
-9.564,-1.075
-9.564,-1.025
-9.614,-0.975
-9.614,-0.925
-9.614,-0.875
-9.614,-0.825
-9.614,-0.775
-9.614,-0.725
-9.614,-0.675
-9.614,-0.625
-9.614,-0.575
-9.614,-0.525
-9.614,-0.475
-9.614,-0.425
-9.614,-0.375
-9.614,-0.325
-9.614,-0.275
-9.664,-0.225
-9.664,-0.175
-9.664,-0.125
-9.664,-0.075
-9.664,-0.025
-9.664,0.025
-9.664,0.075
-9.664,0.125
-9.664,0.175
-9.664,0.225
-9.664,0.275
-9.664,0.325
-9.664,0.375
-9.664,0.425
-9.664,0.475
-9.664,0.525
-9.664,0.575
-9.664,0.625
-9.664,0.675
-9.614,0.675
-9.564,0.675
-9.514,0.675
-9.464,0.675
-9.414,0.675
-9.364,0.725
-9.314,0.725
-9.264,0.725
-9.214,0.725
-9.164,0.725
-9.114,0.725
-9.064,0.725
-9.014,0.725
-8.964,0.725
-8.914,0.725
-8.864,0.725
-8.814,0.725
-8.764,0.725
-8.714,0.725
-8.664,0.725
-8.614,0.725
-8.564,0.725
-8.514,0.725
-8.464,0.725
-8.414,0.725
-8.364,0.725
-8.314,0.725
-8.264,0.725
-8.214,0.725
-8.164,0.775
-8.114,0.775
-8.064,0.775
-8.014,0.775
-7.964,0.775
-7.914,0.775
-7.864,0.775
-7.814,0.775
-7.764,0.775
-7.714,0.825
-7.664,0.825
-7.614,0.825
-7.564,0.825
-7.514,0.825
-7.464,0.825
-7.414,0.825
-7.364,0.825
-7.314,0.825
-7.264,0.825
-7.214,0.825
-7.164,0.825
-7.114,0.825
-7.064,0.825
-7.014,0.825
-6.964,0.825
-6.914,0.825
-6.864,0.825
-6.814,0.825
-6.764,0.825
-6.714,0.825
-6.664,0.825
-6.614,0.825
-6.564,0.825
-6.514,0.825
-6.464,0.825
-6.414,0.825
-6.364,0.825
-6.314,0.825
-6.264,0.825
-6.214,0.825
-6.164,0.825
-6.114,0.825
-6.064,0.825
-6.014,0.825
-5.964,0.825
-5.914,0.875
-5.864,0.875
-5.814,0.875
-5.764,0.875
-5.714,0.875
-5.664,0.875
-5.614,0.875
-5.564,0.875
-5.514,0.875
-5.464,0.875
-5.414,0.875
-5.364,0.875
-5.314,0.875
-5.264,0.925
-5.214,0.925
-5.164,0.925
-5.114,0.925
-5.064,0.925
-5.014,0.925
-4.964,0.925
-4.914,0.925
-4.864,0.925
-4.814,0.925
-4.764,0.925
-4.714,0.925
-4.664,0.925
-4.614,0.925
-4.564,0.925
-4.514,0.925
-4.514,0.875
-4.514,0.825
-4.514,0.775
-4.514,0.725
-4.514,0.675
-4.464,0.625
-4.414,0.575
-4.364,0.575
-4.314,0.575
-4.264,0.575
-4.214,0.625
-4.164,0.675
-4.114,0.725
-4.114,0.775
-4.114,0.825
-4.114,0.875
-4.114,0.925
-4.114,0.975
-4.064,0.975
-4.014,0.975
-3.964,0.975
-3.914,1.025
-3.864,1.025
-3.814,1.025
-3.764,1.025
-3.714,1.025
-3.664,1.025
-3.614,1.025
-3.564,1.025
-3.514,1.025
-3.464,1.025
-3.414,1.025
-3.364,1.025
-3.314,1.025
-3.264,1.025
-3.214,1.025
-3.164,1.025
-3.114,1.025
-3.064,1.025
-3.014,1.025
-2.964,1.025
-2.914,1.025
-2.864,1.025
-2.814,1.025
-2.764,1.025
-2.714,1.025
-2.664,1.025
-2.614,1.025
-2.564,1.025
-2.514,1.025
-2.464,1.025
-2.414,1.025
-2.364,1.025
-2.314,1.025
-2.264,1.025
-2.214,1.075
-2.164,1.075
-2.114,1.075
-2.064,1.075
-2.014,1.075
-1.964,1.075
-1.914,1.075
-1.864,1.075
-1.814,1.075
-1.764,1.075
-1.714,1.075
-1.664,1.075
-1.614,1.075
-1.564,1.025
-1.514,1.025
-1.464,1.025
-1.414,1.025
-1.364,1.025
-1.314,1.025
-1.264,1.025
-1.214,1.025
-1.164,1.025
-1.114,1.025
-1.064,1.025
-1.014,1.025
-0.964,1.025
-0.914,1.025
-0.864,1.025
-0.814,1.025
-0.764,1.025
-0.714,1.075
-0.664,1.075
-0.614,1.075
-0.564,1.075
-0.514,1.075
-0.464,1.075
-0.414,1.075
-0.364,1.075
-0.314,1.075
-0.264,1.075
-0.214,1.075
-0.164,1.075
-0.114,1.075
-0.064,1.075
-0.014,1.075
