x_m,y_m
1.836,-8.225
1.786,-8.175
1.736,-8.175
1.686,-8.175
1.636,-8.175
1.586,-8.175
1.536,-8.175
1.486,-8.175
1.436,-8.175
1.386,-8.175
1.336,-8.175
1.286,-8.175
1.236,-8.175
1.186,-8.175
1.136,-8.175
1.086,-8.125
1.036,-8.125
0.986,-8.175
0.936,-8.175
0.886,-8.175
0.836,-8.175
0.786,-8.175
0.736,-8.175
0.686,-8.175
0.636,-8.175
0.586,-8.175
0.536,-8.175
0.486,-8.175
0.436,-8.175
0.386,-8.175
0.336,-8.175
0.286,-8.175
0.236,-8.175
0.186,-8.175
0.136,-8.175
0.086,-8.175
0.036,-8.175
-0.014,-8.175
-0.064,-8.175
-0.114,-8.125
-0.164,-8.125
-0.214,-8.125
-0.264,-8.125
-0.314,-8.125
-0.364,-8.125
-0.414,-8.125
-0.464,-8.125
-0.514,-8.125
-0.564,-8.125
-0.614,-8.125
-0.664,-8.125
-0.714,-8.125
-0.764,-8.125
-0.814,-8.125
-0.864,-8.125
-0.914,-8.125
-0.964,-8.125
-1.014,-8.125
-1.064,-8.075
-1.114,-8.075
-1.164,-8.075
-1.214,-8.075
-1.264,-8.075
-1.314,-8.075
-1.364,-8.075
-1.414,-8.075
-1.464,-8.075
-1.514,-8.075
-1.564,-8.075
-1.614,-8.075
-1.664,-8.075
-1.714,-8.075
-1.764,-8.075
-1.814,-8.025
-1.864,-8.025
-1.914,-8.025
-1.964,-8.025
-2.014,-8.025
-2.064,-8.025
-2.114,-8.025
-2.164,-8.025
-2.214,-8.025
-2.264,-8.025
-2.314,-8.025
-2.364,-8.025
-2.414,-8.025
-2.464,-8.025
-2.514,-8.025
-2.564,-8.025
-2.614,-7.975
-2.664,-7.975
-2.714,-7.975
-2.764,-7.975
-2.814,-7.975
-2.864,-7.975
-2.914,-7.925
-2.964,-7.925
-3.014,-7.925
-3.064,-7.925
-3.114,-7.925
-3.164,-7.875
-3.214,-7.875
-3.264,-7.875
-3.314,-7.875
-3.364,-7.875
-3.414,-7.825
-3.464,-7.825
-3.514,-7.825
-3.564,-7.825
-3.614,-7.825
-3.664,-7.775
-3.714,-7.775
-3.764,-7.775
-3.814,-7.775
-3.864,-7.775
-3.914,-7.775
-3.964,-7.775
-4.014,-7.725
-4.064,-7.725
-4.114,-7.725
-4.164,-7.725
-4.214,-7.675
-4.264,-7.675
-4.314,-7.675
-4.364,-7.675
-4.414,-7.675
-4.464,-7.625
-4.514,-7.625
-4.564,-7.625
-4.614,-7.625
-4.664,-7.575
-4.714,-7.575
-4.764,-7.525
-4.814,-7.525
-4.864,-7.525
-4.914,-7.475
-4.964,-7.475
-5.014,-7.475
-5.064,-7.425
-5.114,-7.425
-5.164,-7.425
-5.214,-7.375
-5.264,-7.375
-5.314,-7.325
-5.364,-7.325
-5.414,-7.275
-5.464,-7.275
-5.514,-7.275
-5.564,-7.225
-5.614,-7.225
-5.664,-7.175
-5.714,-7.175
-5.764,-7.125
-5.814,-7.125
-5.864,-7.075
-5.914,-7.075
-5.964,-7.025
-6.014,-7.025
-6.064,-7.025
-6.114,-7.025
-6.164,-6.975
-6.214,-6.975
-6.264,-6.925
-6.314,-6.925
-6.364,-6.875
-6.414,-6.825
-6.464,-6.775
-6.514,-6.775
-6.564,-6.725
-6.614,-6.725
-6.664,-6.675
-6.714,-6.675
-6.764,-6.625
-6.814,-6.575
-6.864,-6.575
-6.914,-6.525
-6.964,-6.525
-7.014,-6.475
-7.064,-6.475
-7.114,-6.425
-7.164,-6.425
-7.214,-6.375
-7.264,-6.375
-7.314,-6.325
-7.364,-6.275
-7.414,-6.275
-7.464,-6.225
-7.514,-6.225
-7.564,-6.175
-7.614,-6.175
-7.664,-6.125
-7.714,-6.075
-7.764,-6.075
-7.814,-6.025
-7.864,-5.975
