x_m,y_m,w_tr_right_m,w_tr_left_m
1.686,-7.50404,0.7,0.7
1.736,-7.503939,0.7,0.7
1.786,-7.502893,0.7,0.7
1.836,-7.501803,0.7,0.7
1.886,-7.50059,0.7098,0.7098
1.936,-7.499174,0.7197,0.7197
1.986,-7.497483,0.7295,0.7295
2.036,-7.495442,0.7394,0.7394
2.086,-7.492984,0.7492,0.7492
2.136,-7.490042,0.75,0.75
2.186,-7.486553,0.75,0.75
2.236,-7.482455,0.7492,0.7492
2.286,-7.477691,0.7394,0.7394
2.336,-7.472205,0.7795,0.7795
2.386,-7.465946,0.7697,0.7697
2.436,-7.458864,0.7598,0.7598
2.48687,-7.450912,0.75,0.75
2.537629,-7.442047,0.75,0.75
2.588279,-7.432228,0.75,0.75
2.638823,-7.421416,0.8,0.8
2.689263,-7.409577,0.8,0.8
2.739604,-7.396677,0.8,0.8
2.789847,-7.382688,0.8,0.8
2.840866,-7.367581,0.85,0.85
2.891681,-7.351334,0.85,0.85
2.942299,-7.333925,0.85,0.85
2.992725,-7.315336,0.8788,0.8788
3.043834,-7.295551,0.8788,0.8788
3.094651,-7.274558,0.8788,0.8788
3.145184,-7.252346,0.8788,0.8788
3.195442,-7.228909,0.8689,0.8689
3.246303,-7.204242,0.8788,0.8788
3.296794,-7.178344,0.8689,0.8689
3.346927,-7.151217,0.9089,0.9089
3.397582,-7.122863,0.9089,0.9089
3.447789,-7.093292,0.9089,0.9089
3.498434,-7.062512,0.9288,0.9288
3.548547,-7.030536,0.9089,0.9089
3.599016,-6.99738,0.9288,0.9288
3.648877,-6.963063,0.9391,0.9391
3.699019,-6.927604,0.9488,0.9488
3.748481,-6.891029,0.9595,0.9595
3.797284,-6.854348,0.9488,0.9488
3.846322,-6.816724,0.9391,0.9391
3.894636,-6.778193,0.9692,0.9692
3.94312,-6.738792,0.9595,0.9595
3.99082,-6.698563,0.9498,0.9498
4.038633,-6.656564,0.9488,0.9488
4.085606,-6.613709,0.9089,0.9089
4.132639,-6.570046,0.8992,0.8992
4.178784,-6.525623,0.9294,0.9294
4.224942,-6.480493,0.9197,0.9197
4.271037,-6.434711,0.91,0.91
4.316124,-6.388335,0.91,0.91
4.361113,-6.341425,0.91,0.91
4.40593,-6.294046,0.91,0.91
4.450508,-6.246263,0.9089,0.9089
4.49478,-6.198145,0.8992,0.8992
4.538682,-6.149765,0.8895,0.8895
4.582154,-6.101197,0.8992,0.8992
4.625138,-6.051535,0.9089,0.9089
4.666708,-6.001727,0.8992,0.8992
4.707794,-5.951852,0.8895,0.8895
4.748343,-5.90101,0.8798,0.8798
4.788307,-5.850155,0.8798,0.8798
4.827638,-5.799371,0.8895,0.8895
4.866294,-5.748749,0.8992,0.8992
4.903362,-5.697395,0.9089,0.9089
4.939786,-5.646272,0.9089,0.9089
4.975529,-5.594489,0.8895,0.8895
5.010554,-5.543012,0.8992,0.8992
5.044831,-5.490953,0.9089,0.9089
5.078327,-5.43928,0.8788,0.8788
5.111018,-5.387108,0.8992,0.8992
5.142879,-5.335408,0.9089,0.9089
5.173889,-5.283298,0.8788,0.8788
5.203158,-5.231753,0.9089,0.9089
5.231655,-5.179892,0.8788,0.8788
5.259362,-5.128693,0.9089,0.9089
5.286267,-5.077279,0.9288,0.9288
5.312361,-5.026629,0.9089,0.9089
5.337636,-4.97587,0.9288,0.9288
5.362958,-4.925,0.9189,0.9189
5.387344,-4.875,0.9488,0.9488
5.410798,-4.825,0.9288,0.9288
5.433328,-4.775,0.9089,0.9089
5.455813,-4.725,0.9288,0.9288
5.477285,-4.675,0.9189,0.9189
5.497761,-4.625,0.9488,0.9488
5.518134,-4.575,0.9288,0.9288
5.537444,-4.525,0.9488,0.9488
5.555723,-4.475,0.9288,0.9288
5.573872,-4.425,0.9189,0.9189
5.590946,-4.375,0.9488,0.9488
5.607855,-4.325,0.9288,0.9288
5.624532,-4.275,0.9189,0.9189
5.640914,-4.225,0.9492,0.9492
5.65596,-4.17413,0.9288,0.9288
5.670487,-4.122501,0.9189,0.9189
5.684448,-4.070223,0.9089,0.9089
5.697798,-4.01827,0.9288,0.9288
5.710503,-3.965765,0.9189,0.9189
5.72253,-3.912811,0.9091,0.9091
5.733855,-3.859508,0.8992,0.8992
5.743472,-3.805953,0.9394,0.9394
5.752236,-3.752241,0.9295,0.9295
5.760135,-3.699334,0.9197,0.9197
5.767163,-3.646339,0.9098,0.9098
5.772336,-3.593346,0.9,0.9
5.776527,-3.540439,0.9,0.9
5.779743,-3.487703,0.9,0.9
5.782001,-3.435219,0.9,0.9
5.782333,-3.383063,0.8992,0.8992
5.781634,-3.33218,0.8894,0.8894
5.779932,-3.281662,0.8795,0.8795
5.776275,-3.23158,0.8697,0.8697
5.771572,-3.181133,0.8598,0.8598
5.764878,-3.131369,0.85,0.85
5.757111,-3.082349,0.85,0.85
5.747336,-3.033261,0.85,0.85
5.736477,-2.985141,0.85,0.85
5.723609,-2.937169,0.8,0.8
5.709664,-2.890372,0.8098,0.8098
5.69471,-2.843923,0.8197,0.8197
5.677836,-2.79797,0.7795,0.7795
5.659118,-2.752658,0.7894,0.7894
5.637765,-2.708124,0.7992,0.7992
5.61484,-2.664503,0.7591,0.7591
5.589556,-2.62192,0.7689,0.7689
5.562978,-2.580497,0.7291,0.7291
5.535192,-2.54035,0.7194,0.7194
5.506285,-2.501589,0.7495,0.7495
5.475478,-2.464319,0.7398,0.7398
5.44286,-2.428639,0.7398,0.7398
5.409506,-2.394641,0.7398,0.7398
5.374641,-2.362413,0.7398,0.7398
5.338356,-2.332038,0.7398,0.7398
5.300745,-2.303591,0.7495,0.7495
5.261901,-2.277142,0.7194,0.7194
5.221918,-2.252758,0.7291,0.7291
5.180888,-2.230497,0.7091,0.7091
5.139775,-2.210413,0.7591,0.7591
5.098676,-2.192554,0.7492,0.7492
5.056818,-2.176963,0.7394,0.7394
5.01517,-2.163675,0.7795,0.7795
4.972851,-2.152722,0.7697,0.7697
4.929961,-2.14413,0.7598,0.7598
4.886602,-2.137918,0.7598,0.7598
4.844731,-2.134101,0.75,0.75
4.8026,-2.132686,0.75,0.75
4.760316,-2.133677,0.75,0.75
4.718857,-2.137071,0.75,0.75
4.677349,-2.142859,0.7598,0.7598
4.636772,-2.151028,0.7598,0.7598
4.596254,-2.161557,0.7697,0.7697
4.555909,-2.174421,0.7795,0.7795
4.516718,-2.189589,0.7394,0.7394
4.478799,-2.207024,0.7492,0.7492
4.44227,-2.226685,0.6992,0.6992
4.406268,-2.248522,0.7091,0.7091
4.370913,-2.272482,0.7291,0.7291
4.337199,-2.298507,0.6892,0.6892
4.305134,-2.32653,0.6795,0.6795
4.272876,-2.356482,0.7097,0.7097
4.242291,-2.388286,0.6698,0.6698
4.212521,-2.421861,0.7,0.7
4.184563,-2.457117,0.7,0.7
4.157448,-2.493964,0.6795,0.6795
4.131191,-2.532301,0.65,0.65
4.106793,-2.572024,0.65,0.65
4.082417,-2.613023,0.6098,0.6098
4.059934,-2.655183,0.6197,0.6197
4.039362,-2.698381,0.6295,0.6295
4.019737,-2.74249,0.5894,0.5894
4.001081,-2.787379,0.5992,0.5992
3.983415,-2.832908,0.5697,0.5697
3.966645,-2.878934,0.5795,0.5795
3.950679,-2.925307,0.5894,0.5894
3.935424,-2.972855,0.5394,0.5394
3.920785,-3.021536,0.5492,0.5492
3.90667,-3.071303,0.5697,0.5697
3.892986,-3.121121,0.5795,0.5795
3.87964,-3.171806,0.5394,0.5394
3.866538,-3.223299,0.5492,0.5492
3.853587,-3.276411,0.5894,0.5894
3.840693,-3.330096,0.5992,0.5992
3.827765,-3.385161,0.5794,0.5794
3.814708,-3.440443,0.5992,0.5992
3.801429,-3.495761,0.6192,0.6192
3.787835,-3.551047,0.6394,0.6394
3.773834,-3.607098,0.5992,0.5992
3.759331,-3.663728,0.6192,0.6192
3.744233,-3.72075,0.6394,0.6394
3.728448,-3.777109,0.6192,0.6192
3.711882,-3.832614,0.6492,0.6492
3.694442,-3.887944,0.6591,0.6591
3.676034,-3.942907,0.6492,0.6492
3.656566,-3.997425,0.6591,0.6591
3.635944,-4.051421,0.6394,0.6394
3.614076,-4.104702,0.6492,0.6492
3.590867,-4.158061,0.6591,0.6591
3.566225,-4.209569,0.6494,0.6494
3.540056,-4.261002,0.6795,0.6795
3.512268,-4.311301,0.6591,0.6591
