x_m,y_m,w_tr_right_m,w_tr_left_m
0.436000,-7.505840,0.7000,0.7000
0.486000,-7.507228,0.7000,0.7000
0.536000,-7.508447,0.7000,0.7000
0.586000,-7.509496,0.7000,0.7000
0.636000,-7.511242,0.7000,0.7000
0.686000,-7.512699,0.7000,0.7000
0.736000,-7.513868,0.7000,0.7000
0.786000,-7.514749,0.7000,0.7000
0.836000,-7.515343,0.7000,0.7000
0.886000,-7.516518,0.7000,0.7000
0.936000,-7.517293,0.7000,0.7000
0.986000,-7.517672,0.7000,0.7000
1.036000,-7.519511,0.7000,0.7000
1.086000,-7.520965,0.7000,0.7000
1.136000,-7.522042,0.7000,0.7000
1.186000,-7.523621,0.7000,0.7000
1.236000,-7.524727,0.7000,0.7000
1.286000,-7.526244,0.6500,0.6500
1.336000,-7.527200,0.6500,0.6500
1.386000,-7.528480,0.6500,0.6500
1.436000,-7.529986,0.6500,0.6500
1.486000,-7.530753,0.6500,0.6500
1.536000,-7.531672,0.6500,0.6500
1.586000,-7.531780,0.6500,0.6500
1.636000,-7.531970,0.6500,0.6500
1.686000,-7.532154,0.6500,0.6500
1.736000,-7.532244,0.6500,0.6500
1.786000,-7.531289,0.6500,0.6500
1.836000,-7.530188,0.6500,0.6500
1.886000,-7.528861,0.6598,0.6598
1.936000,-7.527231,0.6697,0.6697
1.986000,-7.525223,0.6795,0.6795
2.036000,-7.522765,0.7394,0.7394
2.086000,-7.519788,0.7492,0.7492
2.136000,-7.516224,0.7500,0.7500
2.186000,-7.512012,0.7500,0.7500
2.236000,-7.506219,0.7500,0.7500
2.286000,-7.499770,0.7500,0.7500
2.336870,-7.492606,0.7500,0.7500
2.387629,-7.484674,0.7500,0.7500
2.438279,-7.475919,0.7500,0.7500
2.488823,-7.466294,0.8000,0.8000
2.539263,-7.455751,0.8000,0.8000
2.590474,-7.445231,0.8000,0.8000
2.641476,-7.433827,0.8000,0.8000
2.692274,-7.421501,0.8500,0.8500
2.742875,-7.408223,0.8500,0.8500
