x_m,y_m
-4.906540,-21.320793
-4.856540,-21.370793
-4.806540,-21.370793
-4.756540,-21.370793
-4.706540,-21.370793
-4.656540,-21.320793
-4.606540,-21.320793
-4.556540,-21.270793
-4.506540,-21.220793
-4.456540,-21.170793
-4.406540,-21.120793
-4.356540,-21.070793
-4.306540,-21.020793
-4.306540,-20.970793
-4.256540,-20.920793
-4.256540,-20.870793
-4.206540,-20.820793
-4.206540,-20.770793
-4.156540,-20.720793
-4.156540,-20.670793
-4.156540,-20.620793
-4.156540,-20.570793
-4.106540,-20.520793
-4.106540,-20.470793
-4.106540,-20.420793
-4.106540,-20.370793
-4.106540,-20.320793
-4.056540,-20.270793
-4.056540,-20.220793
-4.056540,-20.170793
-4.056540,-20.120793
-4.056540,-20.070793
-4.006540,-20.020793
-4.006540,-19.970793
-4.006540,-19.920793
-4.006540,-19.870793
-4.006540,-19.820793
-3.956540,-19.770793
-3.956540,-19.720793
-3.956540,-19.670793
-3.956540,-19.620793
-3.956540,-19.570793
-3.906540,-19.520793
-3.906540,-19.470793
-3.906540,-19.420793
-3.906540,-19.370793
-3.906540,-19.320793
-3.856540,-19.270793
-3.856540,-19.220793
-3.856540,-19.170793
-3.856540,-19.120793
-3.806540,-19.070793
-3.806540,-19.020793
-3.806540,-18.970793
-3.806540,-18.920793
-3.806540,-18.870793
-3.756540,-18.820793
-3.756540,-18.770793
-3.756540,-18.720793
-3.756540,-18.670793
-3.706540,-18.620793
-3.706540,-18.570793
-3.706540,-18.520793
-3.706540,-18.470793
-3.706540,-18.420793
-3.656540,-18.370793
-3.656540,-18.320793
-3.656540,-18.270793
-3.656540,-18.220793
-3.606540,-18.170793
-3.606540,-18.120793
-3.606540,-18.070793
-3.606540,-18.020793
-3.556540,-17.970793
-3.556540,-17.920793
-3.556540,-17.870793
-3.506540,-17.820793
-3.506540,-17.770793
-3.506540,-17.720793
-3.506540,-17.670793
-3.456540,-17.620793
-3.456540,-17.570793
-3.456540,-17.520793
-3.406540,-17.470793
-3.406540,-17.420793
-3.406540,-17.370793
-3.356540,-17.320793
-3.356540,-17.270793
-3.356540,-17.220793
-3.306540,-17.170793
-3.306540,-17.120793
-3.256540,-17.070793
-3.256540,-17.020793
-3.256540,-16.970793
-3.206540,-16.920793
-3.206540,-16.870793
-3.156540,-16.820793
-3.156540,-16.770793
-3.106540,-16.720793
-3.106540,-16.670793
-3.056540,-16.620793
-3.056540,-16.570793
-3.006540,-16.520793
-2.956540,-16.470793
-2.956540,-16.420793
-2.906540,-16.370793
-2.856540,-16.320793
-2.856540,-16.270793
-2.806540,-16.220793
-2.756540,-16.170793
-2.706540,-16.120793
-2.656540,-16.070793
-2.606540,-16.020793
-2.556540,-15.970793
-2.506540,-15.920793
-2.456540,-15.870793
-2.406540,-15.820793
-2.356540,-15.820793
-2.306540,-15.770793
-2.256540,-15.720793
-2.206540,-15.670793
-2.156540,-15.670793
-2.106540,-15.620793
-2.056540,-15.570793
-2.006540,-15.570793
-1.956540,-15.520793
-1.906540,-15.520793
-1.856540,-15.470793
-1.806540,-15.420793
-1.756540,-15.420793
-1.706540,-15.370793
-1.656540,-15.370793
-1.606540,-15.320793
-1.556540,-15.320793
-1.506540,-15.270793
-1.456540,-15.270793
-1.406540,-15.220793
-1.356540,-15.220793
-1.306540,-15.170793
-1.256540,-15.170793
-1.206540,-15.170793
-1.156540,-15.120793
