x_m,y_m
-5.256540,-24.370793
-5.306540,-24.320793
-5.356540,-24.320793
-5.406540,-24.320793
-5.456540,-24.320793
-5.506540,-24.320793
-5.556540,-24.320793
-5.606540,-24.320793
-5.656540,-24.270793
-5.706540,-24.270793
-5.756540,-24.270793
-5.806540,-24.270793
-5.856540,-24.270793
-5.906540,-24.220793
-5.956540,-24.220793
-6.006540,-24.220793
-6.056540,-24.220793
-6.106540,-24.170793
-6.156540,-24.170793
-6.206540,-24.170793
-6.256540,-24.120793
-6.306540,-24.120793
-6.356540,-24.120793
-6.406540,-24.070793
-6.456540,-24.070793
-6.506540,-24.070793
-6.556540,-24.020793
-6.606540,-24.020793
-6.656540,-23.970793
-6.706540,-23.970793
-6.756540,-23.920793
-6.806540,-23.920793
-6.856540,-23.870793
-6.906540,-23.820793
-6.956540,-23.820793
-7.006540,-23.770793
-7.056540,-23.720793
-7.106540,-23.670793
-7.156540,-23.620793
-7.206540,-23.570793
-7.256540,-23.520793
-7.306540,-23.470793
-7.356540,-23.420793
-7.356540,-23.370793
-7.406540,-23.320793
-7.406540,-23.270793
-7.456540,-23.220793
-7.456540,-23.170793
-7.456540,-23.120793
-7.456540,-23.070793
-7.456540,-23.020793
-7.506540,-22.970793
-7.506540,-22.920793
-7.506540,-22.870793
-7.506540,-22.820793
-7.506540,-22.770793
-7.506540,-22.720793
-7.506540,-22.670793
-7.506540,-22.620793
-7.506540,-22.570793
-7.506540,-22.520793
-7.506540,-22.470793
-7.506540,-22.420793
-7.506540,-22.370793
-7.506540,-22.320793
-7.506540,-22.270793
-7.506540,-22.220793
-7.506540,-22.170793
-7.556540,-22.120793
-7.556540,-22.070793
-7.556540,-22.020793
-7.556540,-21.970793
-7.556540,-21.920793
-7.556540,-21.870793
-7.556540,-21.820793
-7.556540,-21.770793
-7.556540,-21.720793
-7.556540,-21.670793
-7.556540,-21.620793
-7.556540,-21.570793
-7.556540,-21.520793
-7.556540,-21.470793
-7.556540,-21.420793
-7.556540,-21.370793
-7.556540,-21.320793
-7.556540,-21.270793
-7.556540,-21.220793
-7.606540,-21.170793
-7.606540,-21.120793
-7.606540,-21.070793
-7.606540,-21.020793
-7.606540,-20.970793
-7.606540,-20.920793
-7.606540,-20.870793
-7.606540,-20.820793
-7.606540,-20.770793
-7.606540,-20.720793
-7.606540,-20.670793
-7.606540,-20.620793
-7.606540,-20.570793
-7.606540,-20.520793
-7.606540,-20.470793
-7.606540,-20.420793
-7.606540,-20.370793
-7.606540,-20.320793
-7.606540,-20.270793
-7.606540,-20.220793
-7.656540,-20.170793
-7.656540,-20.120793
-7.656540,-20.070793
-7.656540,-20.020793
-7.656540,-19.970793
-7.656540,-19.920793
-7.656540,-19.870793
-7.656540,-19.820793
-7.656540,-19.770793
-7.656540,-19.720793
-7.656540,-19.670793
-7.656540,-19.620793
-7.656540,-19.570793
-7.656540,-19.520793
-7.656540,-19.470793
-7.656540,-19.420793
-7.656540,-19.370793
-7.656540,-19.320793
-7.656540,-19.270793
-7.656540,-19.220793
-7.706540,-19.170793
-7.706540,-19.120793
-7.706540,-19.070793
-7.706540,-19.020793
-7.706540,-18.970793
-7.706540,-18.920793
-7.706540,-18.870793
-7.706540,-18.820793
-7.706540,-18.770793
-7.706540,-18.720793
-7.706540,-18.670793
-7.706540,-18.620793
-7.706540,-18.570793
-7.706540,-18.520793
-7.706540,-18.470793
-7.706540,-18.420793
-7.706540,-18.370793
-7.706540,-18.320793
-7.706540,-18.270793
-7.756540,-18.220793
-7.756540,-18.170793
-7.756540,-18.120793
-7.756540,-18.070793
-7.756540,-18.020793
-7.756540,-17.970793
-7.756540,-17.920793
-7.756540,-17.870793
-7.756540,-17.820793
-7.756540,-17.770793
-7.756540,-17.720793
-7.756540,-17.670793
-7.756540,-17.620793
-7.756540,-17.570793
-7.756540,-17.520793
-7.756540,-17.470793
-7.756540,-17.420793
-7.756540,-17.370793
-7.756540,-17.320793
-7.806540,-17.270793
-7.806540,-17.220793
-7.806540,-17.170793
-7.806540,-17.120793
-7.806540,-17.070793
-7.806540,-17.020793
-7.806540,-16.970793
-7.806540,-16.920793
-7.806540,-16.870793
-7.806540,-16.820793
-7.806540,-16.770793
-7.806540,-16.720793
-7.806540,-16.670793
-7.806540,-16.620793
-7.806540,-16.570793
-7.806540,-16.520793
-7.806540,-16.470793
-7.806540,-16.420793
-7.806540,-16.370793
-7.856540,-16.320793
-7.856540,-16.270793
-7.856540,-16.220793
-7.856540,-16.170793
-7.856540,-16.120793
-7.856540,-16.070793
-7.856540,-16.020793
-7.856540,-15.970793
-7.856540,-15.920793
-7.856540,-15.870793
-7.856540,-15.820793
-7.856540,-15.770793
-7.856540,-15.720793
-7.856540,-15.670793
-7.856540,-15.620793
-7.856540,-15.570793
-7.856540,-15.520793
-7.856540,-15.470793
-7.856540,-15.420793
-7.856540,-15.370793
-7.906540,-15.320793
-7.906540,-15.270793
-7.906540,-15.220793
-7.906540,-15.170793
-7.906540,-15.120793
-7.906540,-15.070793
-7.906540,-15.020793
-7.906540,-14.970793
-7.906540,-14.920793
-7.906540,-14.870793
-7.906540,-14.820793
-7.906540,-14.770793
-7.906540,-14.720793
-7.906540,-14.670793
-7.906540,-14.620793
-7.906540,-14.570793
-7.906540,-14.520793
-7.906540,-14.470793
-7.906540,-14.420793
-7.956540,-14.370793
-7.956540,-14.320793
-7.956540,-14.270793
-7.956540,-14.220793
-7.956540,-14.170793
-7.956540,-14.120793
-7.956540,-14.070793
-7.956540,-14.020793
-7.956540,-13.970793
-7.956540,-13.920793
-7.956540,-13.870793
-7.956540,-13.820793
-7.956540,-13.770793
-7.956540,-13.720793
-7.956540,-13.670793
-7.956540,-13.620793
-7.956540,-13.570793
-7.956540,-13.520793
-7.956540,-13.470793
-7.956540,-13.420793
-8.006540,-13.370793
-8.006540,-13.320793
-8.006540,-13.270793
-8.006540,-13.220793
-8.006540,-13.170793
-8.006540,-13.120793
-8.006540,-13.070793
-8.006540,-13.020793
-8.006540,-12.970793
-8.006540,-12.920793
-8.006540,-12.870793
-8.006540,-12.820793
-8.006540,-12.770793
-8.006540,-12.720793
-8.006540,-12.670793
-8.006540,-12.620793
-8.006540,-12.570793
-8.006540,-12.520793
-8.006540,-12.470793
-8.006540,-12.420793
-8.056540,-12.370793
-8.056540,-12.320793
-8.056540,-12.270793
-8.056540,-12.220793
-8.056540,-12.170793
-8.056540,-12.120793
-8.056540,-12.070793
-8.056540,-12.020793
-8.056540,-11.970793
-8.056540,-11.920793
-8.056540,-11.870793
-8.056540,-11.820793
-8.056540,-11.770793
-8.056540,-11.720793
-8.056540,-11.670793
-8.056540,-11.620793
-8.056540,-11.570793
-8.056540,-11.520793
-8.056540,-11.470793
-8.056540,-11.420793
-8.056540,-11.370793
-8.106540,-11.320793
-8.106540,-11.270793
-8.106540,-11.220793
-8.106540,-11.170793
-8.106540,-11.120793
-8.106540,-11.070793
-8.106540,-11.020793
-8.106540,-10.970793
-8.106540,-10.920793
-8.106540,-10.870793
-8.106540,-10.820793
-8.106540,-10.770793
-8.106540,-10.720793
-8.106540,-10.670793
-8.106540,-10.620793
-8.106540,-10.570793
-8.106540,-10.520793
-8.106540,-10.470793
-8.106540,-10.420793
-8.106540,-10.370793
-8.106540,-10.320793
-8.156540,-10.270793
-8.156540,-10.220793
-8.156540,-10.170793
-8.156540,-10.120793
-8.156540,-10.070793
-8.156540,-10.020793
-8.156540,-9.970793
-8.156540,-9.920793
-8.156540,-9.870793
-8.156540,-9.820793
-8.156540,-9.770793
-8.156540,-9.720793
-8.156540,-9.670793
-8.156540,-9.620793
-8.156540,-9.570793
-8.156540,-9.520793
-8.156540,-9.470793
-8.156540,-9.420793
-8.156540,-9.370793
-8.156540,-9.320793
-8.156540,-9.270793
-8.206540,-9.220793
-8.206540,-9.170793
-8.206540,-9.120793
-8.206540,-9.070793
-8.206540,-9.020793
-8.206540,-8.970793
-8.206540,-8.920793
-8.206540,-8.870793
-8.206540,-8.820793
-8.206540,-8.770793
-8.206540,-8.720793
-8.206540,-8.670793
-8.206540,-8.620793
-8.206540,-8.570793
-8.206540,-8.520793
-8.206540,-8.470793
-8.206540,-8.420793
-8.206540,-8.370793
-8.206540,-8.320793
-8.206540,-8.270793
-8.206540,-8.220793
-8.206540,-8.170793
-8.206540,-8.120793
-8.206540,-8.070793
-8.256540,-8.020793
-8.256540,-7.970793
-8.256540,-7.920793
-8.256540,-7.870793
-8.256540,-7.820793
-8.256540,-7.770793
-8.256540,-7.720793
-8.256540,-7.670793
-8.256540,-7.620793
-8.256540,-7.570793
-8.256540,-7.520793
-8.256540,-7.470793
-8.256540,-7.420793
-8.256540,-7.370793
-8.256540,-7.320793
-8.256540,-7.270793
-8.256540,-7.220793
-8.256540,-7.170793
-8.256540,-7.120793
-8.256540,-7.070793
-8.256540,-7.020793
-8.256540,-6.970793
-8.256540,-6.920793
-8.256540,-6.870793
-8.306540,-6.820793
-8.306540,-6.770793
-8.306540,-6.720793
-8.306540,-6.670793
-8.306540,-6.620793
-8.306540,-6.570793
-8.306540,-6.520793
-8.306540,-6.470793
-8.306540,-6.420793
-8.306540,-6.370793
-8.306540,-6.320793
-8.306540,-6.270793
-8.306540,-6.220793
-8.306540,-6.170793
-8.306540,-6.120793
-8.306540,-6.070793
-8.306540,-6.020793
-8.306540,-5.970793
-8.306540,-5.920793
-8.306540,-5.870793
-8.306540,-5.820793
-8.306540,-5.770793
-8.306540,-5.720793
-8.306540,-5.670793
-8.306540,-5.620793
-8.306540,-5.570793
-8.306540,-5.520793
-8.306540,-5.470793
-8.356540,-5.420793
-8.356540,-5.370793
-8.356540,-5.320793
-8.356540,-5.270793
-8.356540,-5.220793
-8.356540,-5.170793
-8.356540,-5.120793
-8.356540,-5.070793
-8.356540,-5.020793
-8.356540,-4.970793
-8.356540,-4.920793
-8.356540,-4.870793
-8.356540,-4.820793
-8.356540,-4.770793
-8.356540,-4.720793
-8.356540,-4.670793
-8.356540,-4.620793
-8.356540,-4.570793
-8.356540,-4.520793
-8.356540,-4.470793
-8.356540,-4.420793
-8.356540,-4.370793
-8.356540,-4.320793
-8.356540,-4.270793
-8.356540,-4.220793
-8.356540,-4.170793
-8.356540,-4.120793
-8.356540,-4.070793
-8.356540,-4.020793
-8.356540,-3.970793
-8.356540,-3.920793
-8.356540,-3.870793
-8.356540,-3.820793
-8.356540,-3.770793
-8.356540,-3.720793
-8.356540,-3.670793
-8.356540,-3.620793
-8.356540,-3.570793
-8.406540,-3.520793
-8.406540,-3.470793
-8.406540,-3.420793
-8.406540,-3.370793
-8.406540,-3.320793
-8.406540,-3.270793
-8.406540,-3.220793
-8.406540,-3.170793
-8.406540,-3.120793
-8.406540,-3.070793
-8.406540,-3.020793
-8.406540,-2.970793
-8.406540,-2.920793
-8.406540,-2.870793
-8.406540,-2.820793
-8.406540,-2.770793
-8.406540,-2.720793
-8.406540,-2.670793
-8.406540,-2.620793
-8.406540,-2.570793
-8.406540,-2.520793
-8.406540,-2.470793
-8.406540,-2.420793
-8.406540,-2.370793
-8.406540,-2.320793
-8.406540,-2.270793
-8.406540,-2.220793
-8.406540,-2.170793
-8.406540,-2.120793
-8.406540,-2.070793
-8.406540,-2.020793
-8.406540,-1.970793
-8.406540,-1.920793
-8.406540,-1.870793
-8.406540,-1.820793
-8.406540,-1.770793
-8.406540,-1.720793
-8.406540,-1.670793
-8.406540,-1.620793
-8.406540,-1.570793
-8.406540,-1.520793
-8.406540,-1.470793
-8.406540,-1.420793
-8.406540,-1.370793
-8.406540,-1.320793
-8.406540,-1.270793
-8.406540,-1.220793
-8.406540,-1.170793
-8.406540,-1.120793
-8.406540,-1.070793
-8.406540,-1.020793
-8.406540,-0.970793
-8.406540,-0.920793
-8.406540,-0.870793
-8.406540,-0.820793
-8.406540,-0.770793
-8.356540,-0.720793
-8.356540,-0.670793
-8.356540,-0.620793
-8.356540,-0.570793
-8.356540,-0.520793
-8.356540,-0.470793
-8.356540,-0.420793
-8.356540,-0.370793
-8.356540,-0.320793
-8.356540,-0.270793
-8.356540,-0.220793
-8.356540,-0.170793
-8.356540,-0.120793
-8.356540,-0.070793
-8.356540,-0.020793
-8.356540,0.029207
-8.306540,0.079207
-8.306540,0.129207
-8.306540,0.179207
-8.306540,0.229207
-8.306540,0.279207
-8.306540,0.329207
-8.256540,0.379207
-8.256540,0.429207
-8.206540,0.479207
-8.156540,0.529207
-8.106540,0.579207
-8.056540,0.629207
-8.006540,0.629207
-7.956540,0.679207
-7.906540,0.679207
-7.856540,0.729207
-7.806540,0.729207
-7.756540,0.729207
-7.706540,0.779207
-7.656540,0.779207
-7.606540,0.829207
-7.556540,0.829207
-7.506540,0.829207
-7.456540,0.829207
-7.406540,0.879207
-7.356540,0.879207
-7.306540,0.879207
-7.256540,0.929207
-7.206540,0.929207
-7.156540,0.929207
-7.106540,0.929207
-7.056540,0.929207
-7.006540,0.979207
-6.956540,0.979207
-6.906540,0.979207
-6.856540,0.979207
-6.806540,1.029207
-6.756540,1.029207
-6.706540,1.029207
-6.656540,1.029207
-6.606540,1.029207
-6.556540,1.029207
-6.506540,1.079207
-6.456540,1.079207
-6.406540,1.079207
-6.356540,1.079207
-6.306540,1.079207
-6.256540,1.079207
-6.206540,1.079207
-6.156540,1.129207
-6.106540,1.129207
-6.056540,1.129207
-6.006540,1.129207
-5.956540,1.129207
-5.906540,1.129207
-5.856540,1.129207
-5.806540,1.179207
-5.756540,1.179207
-5.706540,1.179207
-5.656540,1.179207
-5.606540,1.179207
-5.556540,1.179207
-5.506540,1.179207
-5.456540,1.179207
-5.406540,1.179207
-5.356540,1.179207
-5.306540,1.229207
-5.256540,1.229207
-5.206540,1.229207
-5.156540,1.229207
-5.106540,1.229207
-5.056540,1.229207
-5.006540,1.229207
-4.956540,1.229207
-4.906540,1.229207
-4.856540,1.229207
-4.806540,1.229207
-4.756540,1.279207
-4.706540,1.279207
-4.656540,1.279207
-4.606540,1.279207
-4.556540,1.279207
-4.506540,1.279207
-4.456540,1.279207
-4.406540,1.279207
-4.356540,1.279207
-4.306540,1.279207
-4.256540,1.279207
-4.206540,1.279207
-4.156540,1.279207
-4.106540,1.279207
-4.056540,1.279207
-4.006540,1.279207
-3.956540,1.329207
-3.906540,1.329207
-3.856540,1.329207
-3.806540,1.329207
-3.756540,1.329207
-3.706540,1.329207
-3.656540,1.329207
-3.606540,1.329207
-3.556540,1.329207
-3.506540,1.329207
-3.456540,1.329207
-3.406540,1.329207
-3.356540,1.329207
-3.306540,1.329207
-3.256540,1.329207
-3.206540,1.329207
-3.156540,1.329207
-3.106540,1.329207
-3.056540,1.329207
-3.006540,1.329207
-2.956540,1.329207
-2.906540,1.329207
-2.856540,1.329207
-2.806540,1.329207
-2.756540,1.329207
-2.706540,1.379207
-2.656540,1.379207
-2.606540,1.379207
-2.556540,1.379207
-2.506540,1.379207
-2.456540,1.379207
-2.406540,1.379207
-2.356540,1.379207
-2.306540,1.379207
-2.256540,1.379207
-2.206540,1.379207
-2.156540,1.379207
-2.106540,1.379207
-2.056540,1.379207
-2.006540,1.379207
-1.956540,1.379207
-1.906540,1.379207
-1.856540,1.379207
-1.806540,1.379207
-1.756540,1.379207
-1.706540,1.379207
-1.656540,1.379207
-1.606540,1.379207
-1.556540,1.379207
-1.506540,1.379207
-1.456540,1.379207
-1.406540,1.379207
-1.356540,1.379207
-1.306540,1.379207
-1.256540,1.379207
-1.206540,1.379207
-1.156540,1.379207
-1.106540,1.379207
-1.056540,1.379207
-1.006540,1.379207
-0.956540,1.379207
-0.906540,1.379207
-0.856540,1.379207
-0.806540,1.379207
-0.756540,1.379207
-0.706540,1.379207
-0.656540,1.379207
-0.606540,1.379207
-0.556540,1.379207
-0.506540,1.379207
-0.456540,1.379207
-0.406540,1.379207
-0.356540,1.379207
-0.306540,1.379207
-0.256540,1.379207
-0.206540,1.379207
-0.156540,1.379207
-0.106540,1.379207
-0.056540,1.379207
-0.006540,1.379207
0.043460,1.379207
0.093460,1.379207
0.143460,1.379207
0.193460,1.379207
0.243460,1.379207
0.293460,1.379207
0.343460,1.379207
0.393460,1.379207
0.443460,1.379207
0.493460,1.379207
0.543460,1.379207
0.593460,1.379207
0.643460,1.329207
0.693460,1.329207
0.743460,1.329207
0.793460,1.329207
0.843460,1.329207
0.893460,1.329207
0.943460,1.329207
0.993460,1.329207
1.043460,1.329207
1.093460,1.329207
1.143460,1.329207
1.193460,1.329207
1.243460,1.329207
1.293460,1.329207
1.343460,1.329207
1.393460,1.329207
1.443460,1.329207
1.493460,1.329207
1.543460,1.329207
1.593460,1.329207
1.643460,1.329207
1.693460,1.329207
1.743460,1.329207
1.793460,1.329207
1.843460,1.329207
1.893460,1.329207
1.943460,1.329207
1.993460,1.329207
2.043460,1.329207
2.093460,1.329207
2.143460,1.329207
2.193460,1.329207
2.243460,1.279207
2.293460,1.279207
2.343460,1.279207
2.393460,1.279207
2.443460,1.279207
2.493460,1.279207
2.543460,1.279207
2.593460,1.279207
2.643460,1.279207
2.693460,1.279207
2.743460,1.279207
2.793460,1.279207
2.843460,1.279207
2.893460,1.279207
2.943460,1.279207
2.993460,1.279207
3.043460,1.279207
3.093460,1.279207
3.143460,1.279207
3.193460,1.279207
3.243460,1.279207
3.293460,1.279207
3.343460,1.279207
3.393460,1.229207
3.443460,1.229207
3.493460,1.229207
3.543460,1.229207
3.593460,1.229207
3.643460,1.229207
3.693460,1.229207
3.743460,1.229207
3.793460,1.229207
3.843460,1.229207
3.893460,1.229207
3.943460,1.229207
3.993460,1.229207
4.043460,1.229207
4.093460,1.229207
4.143460,1.229207
4.193460,1.229207
4.243460,1.179207
4.293460,1.179207
4.343460,1.179207
4.393460,1.179207
4.443460,1.179207
4.493460,1.179207
4.543460,1.179207
4.593460,1.179207
4.643460,1.179207
4.693460,1.179207
4.743460,1.179207
4.793460,1.179207
4.843460,1.179207
