x_m,y_m,w_tr_right_m,w_tr_left_m
-4.925637,-22.789814,1.5197,1.5197
-4.870313,-22.793974,1.5098,1.5098
-4.814618,-22.796708,1.5000,1.5000
-4.759605,-22.798009,1.5000,1.5000
-4.704472,-22.797872,1.5000,1.5000
-4.648417,-22.796301,1.5098,1.5098
-4.592493,-22.793305,1.5197,1.5197
-4.537749,-22.788897,1.5295,1.5295
-4.483386,-22.783097,1.5394,1.5394
-4.429585,-22.775931,1.5492,1.5492
-4.376532,-22.767429,1.5091,1.5091
-4.325280,-22.757629,1.5189,1.5189
-4.274045,-22.746573,1.5288,1.5288
-4.223882,-22.734308,1.5386,1.5386
-4.174975,-22.720889,1.5484,1.5484
-4.126522,-22.706375,1.5083,1.5083
-4.079460,-22.690830,1.5181,1.5181
-4.032871,-22.674326,1.5280,1.5280
-3.986818,-22.656938,1.4980,1.4980
-3.941362,-22.638749,1.5280,1.5280
-3.896562,-22.618861,1.4980,1.4980
-3.853341,-22.597251,1.5281,1.5281
-3.810771,-22.574882,1.5281,1.5281
-3.768904,-22.550867,1.5184,1.5184
-3.727789,-22.525196,1.5486,1.5486
-3.687473,-22.497856,1.5389,1.5389
-3.648871,-22.469827,1.5292,1.5292
-3.611040,-22.440237,1.5292,1.5292
-3.574022,-22.409086,1.5195,1.5195
-3.537856,-22.376379,1.5497,1.5497
-3.502576,-22.343108,1.5400,1.5400
-3.469086,-22.308416,1.5098,1.5098
-3.436432,-22.272317,1.5181,1.5181
-3.404645,-22.234830,1.4780,1.4780
-3.373752,-22.195977,1.4980,1.4980
-3.344647,-22.156766,1.4583,1.4583
-3.316369,-22.116355,1.4681,1.4681
-3.288939,-22.074779,1.4181,1.4181
-3.262376,-22.032072,1.4280,1.4280
-3.236695,-21.988273,1.3984,1.3984
-3.212779,-21.943421,1.4083,1.4083
-3.189657,-21.897562,1.3681,1.3681
-3.167338,-21.851726,1.3788,1.3788
-3.145829,-21.805095,1.3386,1.3386
-3.126005,-21.757724,1.3484,1.3484
-3.106885,-21.709672,1.3583,1.3583
-3.088471,-21.660998,1.3181,1.3181
-3.070761,-21.611767,1.3386,1.3386
-3.053752,-21.562045,1.2984,1.2984
-3.038305,-21.511901,1.3083,1.3083
-3.023431,-21.461407,1.3181,1.3181
-3.009118,-21.409654,1.3181,1.3181
-2.995354,-21.357585,1.2984,1.2984
-2.982994,-21.305280,1.3083,1.3083
-2.971037,-21.252819,1.3083,1.3083
-2.959465,-21.200284,1.2984,1.2984
-2.948258,-21.147762,1.2886,1.2886
-2.938261,-21.094358,1.2984,1.2984
-2.928465,-21.041030,1.3083,1.3083
-2.918845,-20.987871,1.2984,1.2984
-2.910239,-20.934974,1.2886,1.2886
-2.901635,-20.882438,1.2984,1.2984
-2.892999,-20.829378,1.3083,1.3083
-2.884297,-20.776764,1.3083,1.3083
-2.876360,-20.724700,1.2984,1.2984
-2.868166,-20.673292,1.2886,1.2886
-2.859673,-20.621663,1.2788,1.2788
-2.851709,-20.570793,1.3083,1.3083
-2.843244,-20.520793,1.3083,1.3083
-2.834233,-20.470793,1.2984,1.2984
-2.825496,-20.420793,1.2886,1.2886
-2.815998,-20.370793,1.2788,1.2788
-2.806673,-20.320793,1.2689,1.2689
-2.797468,-20.270793,1.3083,1.3083
-2.787346,-20.220793,1.2984,1.2984
-2.778107,-20.170793,1.2886,1.2886
-2.767844,-20.120793,1.2788,1.2788
-2.757487,-20.070793,1.2689,1.2689
-2.747964,-20.020793,1.3083,1.3083
-2.737369,-19.970793,1.2984,1.2984
-2.727502,-19.920793,1.2886,1.2886
-2.716455,-19.870793,1.2788,1.2788
-2.706029,-19.820793,1.3181,1.3181
-2.695300,-19.770793,1.3083,1.3083
-2.684217,-19.720793,1.2984,1.2984
-2.672727,-19.670793,1.2886,1.2886
-2.661763,-19.620793,1.2783,1.2783
-2.650404,-19.570793,1.3083,1.3083
-2.638603,-19.520793,1.2984,1.2984
-2.626308,-19.470793,1.2886,1.2886
-2.614456,-19.420793,1.2788,1.2788
-2.603000,-19.370793,1.3181,1.3181
-2.590040,-19.320793,1.3083,1.3083
-2.577386,-19.270793,1.2984,1.2984
-2.564994,-19.220793,1.2886,1.2886
-2.552822,-19.170793,1.3181,1.3181
-2.539962,-19.120793,1.3083,1.3083
-2.526377,-19.070793,1.2984,1.2984
-2.512898,-19.020793,1.2886,1.2886
-2.499489,-18.970793,1.3288,1.3288
-2.486120,-18.920793,1.3181,1.3181
-2.472758,-18.869923,1.2984,1.2984
-2.458395,-18.819164,1.2886,1.2886
-2.443871,-18.768514,1.3181,1.3181
-2.429165,-18.717100,1.3083,1.3083
-2.414254,-18.665901,1.2984,1.2984
-2.399121,-18.614910,1.3386,1.3386
-2.382764,-18.563253,1.3181,1.3181
-2.366039,-18.511905,1.3083,1.3083
-2.348933,-18.459988,1.3483,1.3483
-2.331437,-18.408474,1.3181,1.3181
-2.313542,-18.356483,1.3083,1.3083
-2.294261,-18.304985,1.3484,1.3484
-2.274459,-18.253095,1.3386,1.3386
-2.254134,-18.201782,1.3681,1.3681
-2.233289,-18.150157,1.3583,1.3583
-2.210943,-18.098316,1.3483,1.3483
-2.187970,-18.047221,1.3681,1.3681
-2.164377,-17.995979,1.3583,1.3583
-2.140175,-17.945548,1.3881,1.3881
-2.115376,-17.895034,1.3681,1.3681
-2.089010,-17.845393,1.4083,1.4083
-2.061965,-17.795726,1.3881,1.3881
-2.034257,-17.746116,1.4181,1.4181
-2.005908,-17.696645,1.4280,1.4280
-1.975958,-17.648260,1.4181,1.4181
-1.945301,-17.600053,1.4484,1.4484
-1.913964,-17.552101,1.4280,1.4280
-1.881976,-17.505345,1.4581,1.4581
-1.849369,-17.458872,1.4581,1.4581
-1.815196,-17.412752,1.4581,1.4581
-1.780360,-17.367051,1.4780,1.4780
-1.744900,-17.322703,1.4388,1.4388
-1.708857,-17.278786,1.4689,1.4689
-1.671291,-17.236233,1.4592,1.4592
-1.633115,-17.194118,1.4495,1.4495
-1.594376,-17.152500,1.4398,1.4398
-1.555123,-17.111434,1.4398,1.4398
-1.514424,-17.071842,1.4398,1.4398
-1.473201,-17.032792,1.4398,1.4398
-1.431510,-16.994334,1.4398,1.4398
-1.388424,-16.956513,1.4398,1.4398
-1.344871,-16.919375,1.4495,1.4495
-1.300911,-16.883829,1.4194,1.4194
-1.256608,-16.848932,1.4592,1.4592
-1.211045,-16.814723,1.4689,1.4689
-1.165156,-16.781237,1.4388,1.4388
-1.119013,-16.749376,1.4484,1.4484
-1.071701,-16.718188,1.4581,1.4581
-1.024164,-16.687703,1.4280,1.4280
-0.976477,-16.657948,1.4484,1.4484
-0.927731,-16.629817,1.4183,1.4183
-0.878876,-16.602349,1.4280,1.4280
-0.829991,-16.575566,1.4181,1.4181
-0.780176,-16.549486,1.4280,1.4280
-0.730383,-16.524994,1.4181,1.4181
-0.679716,-16.501123,1.4280,1.4280
-0.629128,-16.477883,1.4181,1.4181
-0.578711,-16.455286,1.4581,1.4581
-0.527571,-16.433338,1.4280,1.4280
-0.476669,-16.412914,1.4581,1.4581
-0.425117,-16.393033,1.4280,1.4280
-0.373878,-16.373696,1.4181,1.4181
-0.322066,-16.354904,1.4581,1.4581
-0.270648,-16.336650,1.4280,1.4280
-0.218740,-16.318929,1.4581,1.4581
-0.167313,-16.302599,1.4581,1.4581
-0.115484,-16.286668,1.4280,1.4280
-0.064228,-16.271122,1.4181,1.4181
-0.012666,-16.255946,1.4583,1.4583
0.038227,-16.241121,1.4484,1.4484
0.089327,-16.226626,1.4280,1.4280
0.140638,-16.212437,1.4681,1.4681
0.191182,-16.199398,1.4583,1.4583
0.241831,-16.186497,1.4484,1.4484
0.292590,-16.173704,1.4280,1.4280
0.343460,-16.160988,1.4681,1.4681
0.393460,-16.148312,1.4583,1.4583
0.443460,-16.135638,1.4484,1.4484
0.493460,-16.123796,1.4280,1.4280
0.543460,-16.111761,1.4681,1.4681
0.593460,-16.099488,1.4583,1.4583
0.643460,-16.087915,1.4484,1.4484
0.693460,-16.076126,1.4386,1.4386
0.743460,-16.064072,1.4780,1.4780
0.793460,-16.052684,1.4681,1.4681
0.843460,-16.041910,1.4583,1.4583
0.893460,-16.030713,1.4484,1.4484
0.943460,-16.020024,1.4780,1.4780
0.993460,-16.008916,1.4780,1.4780
1.043460,-15.998317,1.4681,1.4681
1.093460,-15.987298,1.4583,1.4583
1.143460,-15.977653,1.4484,1.4484
1.193460,-15.967470,1.4780,1.4780
1.243460,-15.957672,1.4780,1.4780
1.293460,-15.947329,1.4681,1.4681
1.343460,-15.937362,1.4583,1.4583
1.393460,-15.927821,1.4484,1.4484
1.443460,-15.917773,1.4788,1.4788
1.493460,-15.909006,1.4780,1.4780
1.543460,-15.899602,1.4681,1.4681
1.593460,-15.890479,1.4583,1.4583
1.643460,-15.880700,1.4484,1.4484
1.693460,-15.871181,1.4386,1.4386
1.743460,-15.861968,1.4788,1.4788
1.793460,-15.853104,1.4689,1.4689
1.843460,-15.844522,1.4591,1.4591
1.893460,-15.836151,1.4492,1.4492
1.943460,-15.828037,1.4394,1.4394
1.993460,-15.819241,1.4598,1.4598
2.043460,-15.810675,1.4697,1.4697
2.093460,-15.802382,1.4598,1.4598
2.143460,-15.794403,1.4500,1.4500
2.193460,-15.785797,1.4500,1.4500
2.243460,-15.778344,1.4492,1.4492
2.293460,-15.770117,1.4598,1.4598
2.343460,-15.762025,1.4697,1.4697
2.393460,-15.754109,1.4697,1.4697
2.443460,-15.746407,1.4598,1.4598
2.493460,-15.737974,1.4500,1.4500
2.543460,-15.730589,1.4492,1.4492
2.593460,-15.723305,1.4394,1.4394
2.643460,-15.716162,1.4500,1.4500
2.693460,-15.709200,1.4598,1.4598
2.743460,-15.701474,1.4598,1.4598
2.793460,-15.693890,1.4500,1.4500
2.843460,-15.687356,1.4492,1.4492
2.893460,-15.680926,1.4394,1.4394
2.943460,-15.673656,1.4295,1.4295
2.993460,-15.666452,1.4500,1.4500
3.043460,-15.659352,1.4500,1.4500
3.093460,-15.652391,1.4500,1.4500
3.143460,-15.644622,1.4500,1.4500
3.193460,-15.637819,1.4492,1.4492
3.243460,-15.631035,1.4394,1.4394
3.293460,-15.624305,1.4295,1.4295
3.343460,-15.616683,1.4492,1.4492
3.393460,-15.609073,1.4500,1.4500
3.443460,-15.601507,1.4500,1.4500
3.493460,-15.594020,1.4500,1.4500
3.543460,-15.586647,1.4492,1.4492
3.593460,-15.578436,1.4394,1.4394
