x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.736456,-3.987923,2.1532,0.8862,-0.066109,0.560709,2.3131
1.986369,-3.987006,2.1559,0.8895,0.062205,0.469865,2.5097
2.234415,-3.956908,2.1700,0.9240,0.198374,0.625062,2.1908
2.474587,-3.888865,2.1369,0.9321,0.378684,0.830845,1.9002
2.695447,-3.773469,2.1112,0.9727,0.606685,1.016228,1.7182
2.881215,-3.606667,1.9609,0.9116,0.799964,0.548826,2.1095
3.042695,-3.415955,1.8260,0.8886,0.912185,0.352286,2.4391
3.186901,-3.211664,1.7111,0.9068,0.983734,0.220871,2.7294
3.319639,-2.999691,1.6336,0.9823,1.028392,0.136448,2.9917
3.445073,-2.783307,1.5492,1.0604,1.056175,0.085764,3.2328
3.565839,-2.564279,1.4688,1.1468,1.072728,0.046609,3.4571
3.684045,-2.343856,1.3875,1.2291,1.079704,0.009173,3.5000
3.801744,-2.123163,1.3042,1.2982,1.080660,-0.001525,3.5000
3.919528,-1.902515,1.2278,1.3675,1.079800,-0.005357,3.5000
4.037607,-1.682025,1.1694,1.4506,1.077436,-0.013543,3.5000
4.156433,-1.461937,1.0960,1.5135,1.073562,-0.017433,3.5000
4.276216,-1.242369,1.0304,1.5784,1.068627,-0.022033,3.5000
4.397208,-1.023464,0.9603,1.6355,1.061301,-0.036545,3.5000
4.520195,-0.805676,0.8905,1.6909,1.049051,-0.061417,3.5000
4.646511,-0.589805,0.8556,1.7789,1.029596,-0.094164,3.5000
4.777871,-0.376974,0.8009,1.8412,1.002425,-0.123148,3.5000
4.915722,-0.168288,0.7769,1.9226,0.965647,-0.171051,3.5000
5.062362,0.034304,0.7688,2.0027,0.920761,-0.188067,3.5000
5.218344,0.229761,0.7840,2.0867,0.870162,-0.216833,3.5000
5.384667,0.416466,0.7860,2.1384,0.812575,-0.244078,3.4226
5.562067,0.592693,0.7508,2.1312,0.745404,-0.293711,3.1960
5.751901,0.755440,0.7502,2.1348,0.675771,-0.263819,3.3722
5.952032,0.905325,0.7472,2.1150,0.612076,-0.246071,3.4916
6.161005,1.042637,0.7577,2.0888,0.553987,-0.218863,3.5000
6.377202,1.168337,0.8152,2.0933,0.501980,-0.197313,3.5000
6.599347,1.283232,0.8443,2.0550,0.459201,-0.144939,3.5000
6.825508,1.390003,0.8854,2.0205,0.426886,-0.113532,3.5000
7.054615,1.490314,0.9126,1.9711,0.402199,-0.083911,3.5000
7.285781,1.585798,0.9504,1.9339,0.383771,-0.063455,3.5000
7.518436,1.677602,1.0168,1.9272,0.368821,-0.056102,3.5000
7.752355,1.766132,1.0598,1.8962,0.355237,-0.052522,3.5000
7.987418,1.851582,1.0968,1.8594,0.343240,-0.043413,3.5000
8.223397,1.934476,1.1254,1.8149,0.333256,-0.036429,3.5000
8.460122,2.015216,1.1441,1.7594,0.324557,-0.033129,3.5000
8.697508,2.093993,1.1776,1.7173,0.317192,-0.025762,3.5000
8.935397,2.171238,1.2203,1.6847,0.311636,-0.018668,3.5000
9.173645,2.247372,1.2649,1.6518,0.307407,-0.015153,3.5000
9.412179,2.322602,1.2972,1.6041,0.304309,-0.009615,3.5000
9.650895,2.397259,1.3241,1.5504,0.302819,-0.002299,3.5000
9.889653,2.471778,1.3754,1.5223,0.303087,0.004437,3.5000
10.128328,2.546563,1.4097,1.4784,0.304909,0.010135,3.5000
10.366812,2.621952,1.4368,1.4278,0.307965,0.014303,3.5000
10.605026,2.698193,1.4861,1.3931,0.312284,0.020231,3.5000
10.842849,2.775639,1.5202,1.3380,0.317988,0.025385,3.5000
11.080177,2.854593,1.5404,1.2685,0.324663,0.027989,3.5000
11.316945,2.935207,1.5998,1.2316,0.332407,0.033930,3.5000
11.553021,3.017827,1.6332,1.1622,0.342009,0.042854,3.5000
11.788196,3.102971,1.6816,1.0991,0.354144,0.054189,3.5000
12.022196,3.191296,1.7595,1.0609,0.368272,0.058788,3.5000
12.254869,3.283050,1.8227,1.0047,0.387020,0.091142,3.5000
12.485383,3.380080,1.8913,0.9477,0.416737,0.146554,3.5000
12.712170,3.485481,1.9614,0.8936,0.461397,0.210802,3.0660
12.933046,3.602653,2.0263,0.8411,0.526571,0.311112,2.7389
13.144084,3.736561,2.1069,0.8160,0.623787,0.468714,2.4499
13.337958,3.894044,2.1672,0.7870,0.764920,0.666193,2.1221
13.503246,4.081306,2.1745,0.7251,0.930049,0.664192,2.1253
13.635432,4.292960,2.1658,0.6614,1.101381,0.716163,2.0467
13.728228,4.524857,2.1625,0.6179,1.256966,0.536658,2.3643
13.789350,4.767201,2.1641,0.5966,1.368689,0.360218,2.6627
13.828479,5.014113,2.1826,0.6043,1.455105,0.332287,2.8808
13.847016,5.263424,2.2189,0.6429,1.551590,0.441237,2.5458
13.838067,5.513236,2.2545,0.6978,1.660872,0.435442,2.2319
13.802120,5.760500,2.2959,0.7712,1.821645,0.861576,1.8660
13.714806,5.994261,2.3482,0.8734,2.039187,0.898888,1.8269
13.578286,6.202910,2.3334,0.9181,2.237985,0.707438,2.0593
13.407134,6.384862,2.3118,0.9719,2.390715,0.522639,2.3957
13.213667,6.543186,2.2056,0.9609,2.491443,0.285689,2.6906
13.009358,6.687347,2.0670,0.9349,2.554240,0.217090,2.9563
12.797532,6.820219,1.9549,0.9537,2.604186,0.182597,3.2000
12.579843,6.943299,1.8761,1.0148,2.642407,0.123191,3.4264
12.358446,7.059628,1.7962,1.0748,2.665811,0.064002,3.5000
12.135201,7.172406,1.7178,1.1317,2.678377,0.036489,3.5000
11.910936,7.283142,1.6347,1.1827,2.686849,0.031259,3.5000
11.685811,7.392121,1.5594,1.2392,2.693405,0.021166,3.5000
11.460111,7.499908,1.4905,1.2957,2.697261,0.009666,3.5000
11.234151,7.607148,1.4155,1.3406,2.699122,0.005211,3.5000
11.008052,7.714095,1.3409,1.3838,2.700031,0.002061,3.5000
10.781897,7.820924,1.2732,1.4339,2.700189,-0.000801,3.5000
10.555764,7.927799,1.2040,1.4833,2.699451,-0.005100,3.5000
10.329767,8.034962,1.1257,1.5282,2.696973,-0.014714,3.5000
10.104167,8.142956,1.0471,1.5791,2.692597,-0.020275,3.5000
9.879117,8.252093,0.9790,1.6431,2.687085,-0.023804,3.5000
9.654723,8.362567,0.9074,1.7089,2.677510,-0.052766,3.5000
9.431813,8.475988,0.8317,1.7777,2.657080,-0.110630,3.5000
9.212147,8.595521,0.7380,1.8336,2.619242,-0.192103,3.5000
8.998501,8.725440,0.6441,1.8871,2.566010,-0.233906,3.5000
8.792809,8.867618,0.6042,1.9794,2.512345,-0.195567,3.5000
