x_m,y_m
1.836000,-8.225000
1.786000,-8.175000
1.736000,-8.175000
1.686000,-8.175000
1.636000,-8.175000
1.586000,-8.175000
1.536000,-8.175000
1.486000,-8.175000
1.436000,-8.175000
1.386000,-8.175000
1.336000,-8.175000
1.286000,-8.175000
1.236000,-8.175000
1.186000,-8.175000
1.136000,-8.175000
1.086000,-8.125000
1.036000,-8.125000
0.986000,-8.175000
0.936000,-8.175000
0.886000,-8.175000
0.836000,-8.175000
0.786000,-8.175000
0.736000,-8.175000
0.686000,-8.175000
0.636000,-8.175000
0.586000,-8.175000
0.536000,-8.175000
0.486000,-8.175000
0.436000,-8.175000
0.386000,-8.175000
0.336000,-8.175000
0.286000,-8.175000
0.236000,-8.175000
0.186000,-8.175000
0.136000,-8.175000
0.086000,-8.175000
0.036000,-8.175000
-0.014000,-8.175000
-0.064000,-8.175000
-0.114000,-8.125000
-0.164000,-8.125000
-0.214000,-8.125000
-0.264000,-8.125000
-0.314000,-8.125000
-0.364000,-8.125000
-0.414000,-8.125000
-0.464000,-8.125000
-0.514000,-8.125000
-0.564000,-8.125000
-0.614000,-8.125000
-0.664000,-8.125000
-0.714000,-8.125000
-0.764000,-8.125000
-0.814000,-8.125000
-0.864000,-8.125000
-0.914000,-8.125000
-0.964000,-8.125000
-1.014000,-8.125000
-1.064000,-8.075000
-1.114000,-8.075000
-1.164000,-8.075000
-1.214000,-8.075000
-1.264000,-8.075000
-1.314000,-8.075000
-1.364000,-8.075000
-1.414000,-8.075000
-1.464000,-8.075000
-1.514000,-8.075000
-1.564000,-8.075000
-1.614000,-8.075000
-1.664000,-8.075000
-1.714000,-8.075000
-1.764000,-8.075000
-1.814000,-8.025000
-1.864000,-8.025000
-1.914000,-8.025000
-1.964000,-8.025000
-2.014000,-8.025000
-2.064000,-8.025000
-2.114000,-8.025000
-2.164000,-8.025000
-2.214000,-8.025000
-2.264000,-8.025000
-2.314000,-8.025000
-2.364000,-8.025000
-2.414000,-8.025000
-2.464000,-8.025000
-2.514000,-8.025000
-2.564000,-8.025000
-2.614000,-7.975000
-2.664000,-7.975000
-2.714000,-7.975000
-2.764000,-7.975000
-2.814000,-7.975000
-2.864000,-7.975000
-2.914000,-7.925000
-2.964000,-7.925000
-3.014000,-7.925000
-3.064000,-7.925000
-3.114000,-7.925000
-3.164000,-7.875000
-3.214000,-7.875000
-3.264000,-7.875000
-3.314000,-7.875000
-3.364000,-7.875000
