x_m,y_m,w_tr_right_m,w_tr_left_m
1.686000,-7.504040,0.7000,0.7000
1.736000,-7.503939,0.7000,0.7000
1.786000,-7.502893,0.7000,0.7000
1.836000,-7.501803,0.7000,0.7000
1.886000,-7.500590,0.7098,0.7098
1.936000,-7.499174,0.7197,0.7197
1.986000,-7.497483,0.7295,0.7295
2.036000,-7.495442,0.7394,0.7394
2.086000,-7.492984,0.7492,0.7492
2.136000,-7.490042,0.7500,0.7500
2.186000,-7.486553,0.7500,0.7500
2.236000,-7.482455,0.7492,0.7492
2.286000,-7.477691,0.7394,0.7394
2.336000,-7.472205,0.7795,0.7795
2.386000,-7.465946,0.7697,0.7697
2.436000,-7.458864,0.7598,0.7598
2.486870,-7.450912,0.7500,0.7500
2.537629,-7.442047,0.7500,0.7500
2.588279,-7.432228,0.7500,0.7500
2.638823,-7.421416,0.8000,0.8000
2.689263,-7.409577,0.8000,0.8000
2.739604,-7.396677,0.8000,0.8000
2.789847,-7.382688,0.8000,0.8000
2.840866,-7.367581,0.8500,0.8500
2.891681,-7.351334,0.8500,0.8500
2.942299,-7.333925,0.8500,0.8500
2.992725,-7.315336,0.8788,0.8788
3.043834,-7.295551,0.8788,0.8788
3.094651,-7.274558,0.8788,0.8788
3.145184,-7.252346,0.8788,0.8788
3.195442,-7.228909,0.8689,0.8689
3.246303,-7.204242,0.8788,0.8788
3.296794,-7.178344,0.8689,0.8689
3.346927,-7.151217,0.9089,0.9089
3.397582,-7.122863,0.9089,0.9089
3.447789,-7.093292,0.9089,0.9089
3.498434,-7.062512,0.9288,0.9288
3.548547,-7.030536,0.9089,0.9089
3.599016,-6.997380,0.9288,0.9288
3.648877,-6.963063,0.9391,0.9391
3.699019,-6.927604,0.9488,0.9488
3.748481,-6.891029,0.9595,0.9595
3.797284,-6.854348,0.9488,0.9488
3.846322,-6.816724,0.9391,0.9391
3.894636,-6.778193,0.9692,0.9692
3.943120,-6.738792,0.9595,0.9595
3.990820,-6.698563,0.9498,0.9498
4.038633,-6.656564,0.9488,0.9488
4.085606,-6.613709,0.9089,0.9089
4.132639,-6.570046,0.8992,0.8992
4.178784,-6.525623,0.9294,0.9294
4.224942,-6.480493,0.9197,0.9197
4.271037,-6.434711,0.9100,0.9100
4.316124,-6.388335,0.9100,0.9100
4.361113,-6.341425,0.9100,0.9100
4.405930,-6.294046,0.9100,0.9100
4.450508,-6.246263,0.9089,0.9089
4.494780,-6.198145,0.8992,0.8992
4.538682,-6.149765,0.8895,0.8895
4.582154,-6.101197,0.8992,0.8992
4.625138,-6.051535,0.9089,0.9089
4.666708,-6.001727,0.8992,0.8992
4.707794,-5.951852,0.8895,0.8895
4.748343,-5.901010,0.8798,0.8798
4.788307,-5.850155,0.8798,0.8798
4.827638,-5.799371,0.8895,0.8895
4.866294,-5.748749,0.8992,0.8992
4.903362,-5.697395,0.9089,0.9089
4.939786,-5.646272,0.9089,0.9089
4.975529,-5.594489,0.8895,0.8895
5.010554,-5.543012,0.8992,0.8992
5.044831,-5.490953,0.9089,0.9089
5.078327,-5.439280,0.8788,0.8788
5.111018,-5.387108,0.8992,0.8992
5.142879,-5.335408,0.9089,0.9089
5.173889,-5.283298,0.8788,0.8788
5.203158,-5.231753,0.9089,0.9089
5.231655,-5.179892,0.8788,0.8788
5.259362,-5.128693,0.9089,0.9089
5.286267,-5.077279,0.9288,0.9288
5.312361,-5.026629,0.9089,0.9089
5.337636,-4.975870,0.9288,0.9288
5.362958,-4.925000,0.9189,0.9189
5.387344,-4.875000,0.9488,0.9488
5.410798,-4.825000,0.9288,0.9288
5.433328,-4.775000,0.9089,0.9089
5.455813,-4.725000,0.9288,0.9288
5.477285,-4.675000,0.9189,0.9189
5.497761,-4.625000,0.9488,0.9488
5.518134,-4.575000,0.9288,0.9288
5.537444,-4.525000,0.9488,0.9488
5.555723,-4.475000,0.9288,0.9288
5.573872,-4.425000,0.9189,0.9189
5.590946,-4.375000,0.9488,0.9488
5.607855,-4.325000,0.9288,0.9288
5.624532,-4.275000,0.9189,0.9189
5.640914,-4.225000,0.9492,0.9492
5.655960,-4.174130,0.9288,0.9288
5.670487,-4.122501,0.9189,0.9189
5.684448,-4.070223,0.9089,0.9089
5.697798,-4.018270,0.9288,0.9288
5.710503,-3.965765,0.9189,0.9189
5.722530,-3.912811,0.9091,0.9091
5.733855,-3.859508,0.8992,0.8992
5.743472,-3.805953,0.9394,0.9394
5.752236,-3.752241,0.9295,0.9295
5.760135,-3.699334,0.9197,0.9197
5.767163,-3.646339,0.9098,0.9098
5.772336,-3.593346,0.9000,0.9000
5.776527,-3.540439,0.9000,0.9000
5.779743,-3.487703,0.9000,0.9000
5.782001,-3.435219,0.9000,0.9000
5.782333,-3.383063,0.8992,0.8992
5.781634,-3.332180,0.8894,0.8894
5.779932,-3.281662,0.8795,0.8795
5.776275,-3.231580,0.8697,0.8697
5.771572,-3.181133,0.8598,0.8598
5.764878,-3.131369,0.8500,0.8500
5.757111,-3.082349,0.8500,0.8500
5.747336,-3.033261,0.8500,0.8500
5.736477,-2.985141,0.8500,0.8500
5.723609,-2.937169,0.8000,0.8000
5.709664,-2.890372,0.8098,0.8098
5.694710,-2.843923,0.8197,0.8197
5.677836,-2.797970,0.7795,0.7795
5.659118,-2.752658,0.7894,0.7894
5.637765,-2.708124,0.7992,0.7992
5.614840,-2.664503,0.7591,0.7591
5.589556,-2.621920,0.7689,0.7689
5.562978,-2.580497,0.7291,0.7291
5.535192,-2.540350,0.7194,0.7194
5.506285,-2.501589,0.7495,0.7495
5.475478,-2.464319,0.7398,0.7398
5.442860,-2.428639,0.7398,0.7398
5.409506,-2.394641,0.7398,0.7398
5.374641,-2.362413,0.7398,0.7398
5.338356,-2.332038,0.7398,0.7398
5.300745,-2.303591,0.7495,0.7495
5.261901,-2.277142,0.7194,0.7194
5.221918,-2.252758,0.7291,0.7291
5.180888,-2.230497,0.7091,0.7091
5.139775,-2.210413,0.7591,0.7591
5.098676,-2.192554,0.7492,0.7492
5.056818,-2.176963,0.7394,0.7394
5.015170,-2.163675,0.7795,0.7795
4.972851,-2.152722,0.7697,0.7697
4.929961,-2.144130,0.7598,0.7598
4.886602,-2.137918,0.7598,0.7598
4.844731,-2.134101,0.7500,0.7500
4.802600,-2.132686,0.7500,0.7500
4.760316,-2.133677,0.7500,0.7500
4.718857,-2.137071,0.7500,0.7500
4.677349,-2.142859,0.7598,0.7598
4.636772,-2.151028,0.7598,0.7598
4.596254,-2.161557,0.7697,0.7697
4.555909,-2.174421,0.7795,0.7795
4.516718,-2.189589,0.7394,0.7394
4.478799,-2.207024,0.7492,0.7492
4.442270,-2.226685,0.6992,0.6992
4.406268,-2.248522,0.7091,0.7091
4.370913,-2.272482,0.7291,0.7291
4.337199,-2.298507,0.6892,0.6892
4.305134,-2.326530,0.6795,0.6795
4.272876,-2.356482,0.7097,0.7097
4.242291,-2.388286,0.6698,0.6698
4.212521,-2.421861,0.7000,0.7000
4.184563,-2.457117,0.7000,0.7000
4.157448,-2.493964,0.6795,0.6795
4.131191,-2.532301,0.6500,0.6500
4.106793,-2.572024,0.6500,0.6500
4.082417,-2.613023,0.6098,0.6098
4.059934,-2.655183,0.6197,0.6197
4.039362,-2.698381,0.6295,0.6295
4.019737,-2.742490,0.5894,0.5894
4.001081,-2.787379,0.5992,0.5992
3.983415,-2.832908,0.5697,0.5697
3.966645,-2.878934,0.5795,0.5795
3.950679,-2.925307,0.5894,0.5894
3.935424,-2.972855,0.5394,0.5394
3.920785,-3.021536,0.5492,0.5492
3.906670,-3.071303,0.5697,0.5697
3.892986,-3.121121,0.5795,0.5795
3.879640,-3.171806,0.5394,0.5394
3.866538,-3.223299,0.5492,0.5492
3.853587,-3.276411,0.5894,0.5894
3.840693,-3.330096,0.5992,0.5992
3.827765,-3.385161,0.5794,0.5794
3.814708,-3.440443,0.5992,0.5992
3.801429,-3.495761,0.6192,0.6192
3.787835,-3.551047,0.6394,0.6394
3.773834,-3.607098,0.5992,0.5992
3.759331,-3.663728,0.6192,0.6192
3.744233,-3.720750,0.6394,0.6394
3.728448,-3.777109,0.6192,0.6192
3.711882,-3.832614,0.6492,0.6492
3.694442,-3.887944,0.6591,0.6591
3.676034,-3.942907,0.6492,0.6492
3.656566,-3.997425,0.6591,0.6591
3.635944,-4.051421,0.6394,0.6394
3.614076,-4.104702,0.6492,0.6492
3.590867,-4.158061,0.6591,0.6591
3.566225,-4.209569,0.6494,0.6494
3.540056,-4.261002,0.6795,0.6795
3.512268,-4.311301,0.6591,0.6591
3.482767,-4.361262,0.6492,0.6492
3.451460,-4.409941,0.6591,0.6591
3.419238,-4.458253,0.6494,0.6494
3.386125,-4.506126,0.6795,0.6795
3.352148,-4.553497,0.6591,0.6591
3.317337,-4.600299,0.6494,0.6494
3.281725,-4.646474,0.6397,0.6397
3.244361,-4.691092,0.6591,0.6591
3.206151,-4.735081,0.6494,0.6494
3.167135,-4.778385,0.6397,0.6397
3.127351,-4.820953,0.5998,0.5998
3.086845,-4.863604,0.6300,0.6300
3.045663,-4.905311,0.6300,0.6300
3.003854,-4.946033,0.6192,0.6192
2.961471,-4.986601,0.6095,0.6095
2.918568,-5.025999,0.5998,0.5998
2.875204,-5.064196,0.5600,0.5600
2.831439,-5.102038,0.5600,0.5600
2.786352,-5.139386,0.5998,0.5998
2.740878,-5.175243,0.6095,0.6095
2.695081,-5.209594,0.5794,0.5794
2.648048,-5.243301,0.5992,0.5992
2.600717,-5.276244,0.6192,0.6192
2.553160,-5.308311,0.5992,0.5992
2.505452,-5.338524,0.6192,0.6192
2.456687,-5.366894,0.5992,0.5992
2.407812,-5.394302,0.6394,0.6394
2.358908,-5.420653,0.6295,0.6295
2.309073,-5.445856,0.6591,0.6591
2.259260,-5.468957,0.6492,0.6492
2.208573,-5.490859,0.6894,0.6894
2.157966,-5.511484,0.6795,0.6795
2.107529,-5.529893,0.7197,0.7197
2.056368,-5.547001,0.7098,0.7098
2.005447,-5.561878,0.7000,0.7000
1.953875,-5.575447,0.7500,0.7500
1.902616,-5.587656,0.7598,0.7598
1.851769,-5.598456,0.7697,0.7697
1.800449,-5.607804,0.7795,0.7795
1.748641,-5.615665,0.7894,0.7894
1.697317,-5.621137,0.7992,0.7992
1.645594,-5.625177,0.8000,0.8000
1.594447,-5.627760,0.8000,0.8000
1.542996,-5.628002,0.8000,0.8000
1.491233,-5.626871,0.8000,0.8000
1.440134,-5.624360,0.8098,0.8098
1.388823,-5.620466,0.8197,0.8197
1.338279,-5.614321,0.8295,0.8295
1.287629,-5.606916,0.8394,0.8394
1.236870,-5.597391,0.8492,0.8492
1.186000,-5.586745,0.8689,0.8689
1.136000,-5.574129,0.8389,0.8389
1.086000,-5.560549,0.8591,0.8591
1.036000,-5.545163,0.8689,0.8689
0.986000,-5.528116,0.8788,0.8788
0.936000,-5.510428,0.8591,0.8591
0.886000,-5.492137,0.8689,0.8689
0.836000,-5.472418,0.8389,0.8389
0.786000,-5.451435,0.8591,0.8591
0.736000,-5.429352,0.8689,0.8689
0.686000,-5.406337,0.8389,0.8389
0.636000,-5.381577,0.8591,0.8591
0.586000,-5.356983,0.8189,0.8189
0.536000,-5.330762,0.8389,0.8389
0.486000,-5.302976,0.8189,0.8189
0.436000,-5.274673,0.7991,0.7991
0.386000,-5.246030,0.8098,0.8098
0.336000,-5.217117,0.8098,0.8098
0.286000,-5.187019,0.7700,0.7700
0.236000,-5.155807,0.7700,0.7700
0.186000,-5.124536,0.7700,0.7700
0.136000,-5.092409,0.7398,0.7398
0.086000,-5.060370,0.7398,0.7398
0.036000,-5.027511,0.7097,0.7097
-0.014000,-4.994892,0.7194,0.7194
-0.064000,-4.961722,0.7291,0.7291
-0.114000,-4.928081,0.7000,0.7000
-0.164000,-4.894047,0.7000,0.7000
-0.214000,-4.860684,0.7000,0.7000
-0.264000,-4.827203,0.6698,0.6698
-0.314000,-4.793688,0.6795,0.6795
-0.364000,-4.759349,0.6892,0.6892
-0.414000,-4.726234,0.6591,0.6591
-0.464000,-4.693556,0.6892,0.6892
-0.514000,-4.661397,0.7091,0.7091
-0.564000,-4.629837,0.6795,0.6795
-0.614000,-4.598089,0.6892,0.6892
-0.664000,-4.567217,0.7091,0.7091
-0.714000,-4.538284,0.6892,0.6892
-0.764000,-4.510501,0.7091,0.7091
-0.814000,-4.483082,0.6892,0.6892
-0.864000,-4.457088,0.7091,0.7091
-0.914000,-4.431615,0.6992,0.6992
-0.964000,-4.406740,0.7291,0.7291
-1.014000,-4.383519,0.7091,0.7091
-1.064000,-4.360172,0.7291,0.7291
-1.114000,-4.338622,0.7091,0.7091
-1.164000,-4.318935,0.7492,0.7492
-1.214000,-4.300196,0.7394,0.7394
-1.264000,-4.281484,0.7291,0.7291
-1.314000,-4.264714,0.7591,0.7591
-1.364000,-4.249945,0.7492,0.7492
-1.414000,-4.235382,0.7394,0.7394
-1.464000,-4.221948,0.7795,0.7795
-1.514000,-4.209579,0.7697,0.7697
-1.564000,-4.198325,0.7598,0.7598
-1.614000,-4.189214,0.7500,0.7500
-1.664000,-4.181308,0.7500,0.7500
-1.714000,-4.174534,0.8000,0.8000
-1.764000,-4.168817,0.8000,0.8000
-1.814000,-4.164194,0.8000,0.8000
-1.864000,-4.160699,0.8000,0.8000
-1.914000,-4.158249,0.8000,0.8000
-1.964000,-4.157743,0.8000,0.8000
-2.014000,-4.158222,0.8000,0.8000
-2.064000,-4.160585,0.8000,0.8000
-2.114000,-4.163870,0.8000,0.8000
-2.164000,-4.167987,0.8000,0.8000
-2.214000,-4.171970,0.8000,0.8000
-2.264000,-4.176705,0.7598,0.7598
-2.314000,-4.182087,0.7697,0.7697
-2.364000,-4.188996,0.7795,0.7795
-2.414000,-4.196456,0.7894,0.7894
-2.464000,-4.203487,0.7992,0.7992
-2.514000,-4.211944,0.8091,0.8091
-2.564000,-4.220843,0.8189,0.8189
-2.614000,-4.229196,0.7991,0.7991
-2.664000,-4.236995,0.8091,0.8091
-2.714000,-4.246081,0.8189,0.8189
-2.764000,-4.255454,0.8389,0.8389
-2.814000,-4.265968,0.8492,0.8492
-2.864000,-4.276622,0.8091,0.8091
-2.914000,-4.289136,0.8189,0.8189
-2.964000,-4.301524,0.8389,0.8389
-3.014000,-4.314636,0.8389,0.8389
-3.064000,-4.328453,0.8189,0.8189
-3.114000,-4.341971,0.8389,0.8389
-3.164000,-4.355922,0.8189,0.8189
-3.214000,-4.370169,0.7991,0.7991
-3.264000,-4.384691,0.8189,0.8189
-3.314000,-4.399463,0.8091,0.8091
-3.364000,-4.414465,0.7991,0.7991
-3.414000,-4.430543,0.8189,0.8189
-3.464000,-4.445708,0.7991,0.7991
-3.514000,-4.460808,0.7689,0.7689
-3.564000,-4.475821,0.7091,0.7091
-3.614000,-4.491594,0.6992,0.6992
-3.664000,-4.507122,0.6894,0.6894
-3.714000,-4.522272,0.6795,0.6795
-3.764000,-4.537780,0.6197,0.6197
-3.814000,-4.552644,0.6098,0.6098
-3.864000,-4.566846,0.6000,0.6000
-3.914000,-4.581242,0.5500,0.5500
-3.964000,-4.593846,0.5598,0.5598
-4.014000,-4.606383,0.5697,0.5697
