x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.685266,-7.380781,0.8233,0.5767,0.195899,0.126106,3.5000
1.929342,-7.328341,0.8906,0.5487,0.230044,0.147510,3.5000
2.171318,-7.266953,0.9701,0.5302,0.271940,0.188280,3.5000
2.410129,-7.194274,1.0278,0.4981,0.323309,0.223530,3.5000
2.644492,-7.108409,1.1099,0.5070,0.382100,0.247907,3.4787
2.873073,-7.008240,1.1855,0.5307,0.445114,0.257487,3.4134
3.094742,-6.893620,1.2341,0.5478,0.508687,0.252425,3.4474
3.308763,-6.765284,1.2678,0.5671,0.569945,0.238900,3.5000
3.514773,-6.624426,1.2931,0.5895,0.627845,0.225437,3.5000
3.712552,-6.472206,1.3016,0.5996,0.683484,0.220718,3.5000
3.901666,-6.309325,1.2756,0.5814,0.737610,0.213264,3.5000
4.081864,-6.136606,1.2544,0.5687,0.789045,0.199100,3.5000
4.253274,-5.955143,1.2371,0.5532,0.838534,0.197617,3.5000
4.415538,-5.765445,1.2399,0.5517,0.890258,0.217035,3.5000
4.567297,-5.567245,1.2390,0.5443,0.943960,0.213497,3.5000
4.708280,-5.361261,1.2441,0.5411,0.997970,0.219518,3.5000
4.837769,-5.147885,1.2561,0.5427,1.053384,0.224798,3.5000
4.955090,-4.927600,1.2615,0.5377,1.109433,0.224639,3.5000
5.059886,-4.701102,1.2915,0.5538,1.166510,0.233085,3.5000
5.151342,-4.468912,1.3055,0.5491,1.226220,0.245808,3.4935
5.228400,-4.231568,1.3235,0.5463,1.289607,0.262655,3.3796
5.289757,-3.989705,1.3315,0.5304,1.359290,0.296447,2.9609
5.333091,-3.743991,1.3416,0.5157,1.440114,0.352306,2.6962
5.354721,-3.495423,1.3249,0.4785,1.548558,0.519700,2.4026
5.344160,-3.246319,1.2980,0.4398,1.696077,0.669829,2.1163
5.292670,-3.002720,1.2383,0.3816,1.901109,0.996389,1.7352
5.184181,-2.779734,1.1473,0.3029,2.207478,1.525171,1.4025
5.002741,-2.610605,1.1397,0.3060,2.617896,1.924428,1.2486
4.767377,-2.539038,1.1601,0.3560,-3.107034,2.955702,1.0075
4.538690,-2.626649,1.0669,0.3139,-2.574061,1.675906,1.3379
4.359329,-2.799165,0.9590,0.3034,-2.307391,0.549265,1.8120
4.204698,-2.994942,0.8354,0.3150,-2.208940,0.243535,2.1863
4.062161,-3.199843,0.7538,0.3891,-2.166133,0.099774,2.5055
3.924750,-3.408263,0.7064,0.5068,-2.151779,0.015252,2.7885
3.788132,-3.617206,0.6441,0.6095,-2.156284,-0.051350,3.0452
3.648855,-3.824368,0.5750,0.6962,-2.177635,-0.119745,3.2820
3.503469,-4.027251,0.5301,0.7880,-2.215574,-0.184366,3.5000
3.348921,-4.223218,0.4762,0.8395,-2.265828,-0.218561,3.5000
3.183938,-4.410459,0.4285,0.8646,-2.323064,-0.240461,3.5000
3.008043,-4.587465,0.3794,0.8673,-2.385346,-0.259114,3.4026
2.821097,-4.752740,0.3417,0.8701,-2.453444,-0.287245,3.2140
2.622826,-4.904202,0.3236,0.8906,-2.531548,-0.339641,2.9720
2.412481,-5.038356,0.3035,0.9062,-2.624698,-0.408434,2.7102
2.189594,-5.150471,0.3318,0.9664,-2.738388,-0.505580,2.4359
1.954450,-5.233741,0.3988,1.0531,-2.863264,-0.499003,2.4519
1.710912,-5.287253,0.4556,1.1082,-2.987598,-0.501351,2.4462
1.462649,-5.310080,0.5054,1.1287,-3.109032,-0.475552,2.5117
1.213327,-5.303460,0.5668,1.1256,3.067258,-0.383708,2.7937
0.965628,-5.273066,0.6275,1.0926,2.986549,-0.264226,3.0500
0.720396,-5.226416,0.6795,1.0325,2.931284,-0.178932,3.2863
