x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.433322,-7.601893,0.603900,0.796100,0.042163,0.091894,5.713700
0.683146,-7.588475,0.624200,0.775800,0.065771,0.096858,5.280623
0.932572,-7.569009,0.648200,0.751800,0.090550,0.101250,4.909648
1.181425,-7.543232,0.680300,0.719700,0.116352,0.105041,4.596413
1.429514,-7.510927,0.670000,0.632300,0.143663,0.113324,4.336556
1.676586,-7.471603,0.710500,0.589500,0.173424,0.124638,4.125713
1.922311,-7.424596,0.771700,0.565800,0.207291,0.146162,3.959521
2.166153,-7.368641,0.893400,0.604500,0.246932,0.170849,3.833616
2.407378,-7.302322,0.928600,0.576400,0.291198,0.183178,3.743635
2.645303,-7.225031,1.038000,0.635800,0.339489,0.203096,3.685216
2.878979,-7.135771,1.098400,0.662300,0.392494,0.220952,3.653993
3.107354,-7.033755,1.141000,0.691900,0.448321,0.225727,3.645600
3.329601,-6.919028,1.164000,0.721600,0.504139,0.220900,3.655672
3.545175,-6.792213,1.164900,0.742200,0.558609,0.214933,3.679848
3.753626,-6.654007,1.155800,0.760900,0.612071,0.212835,3.713769
3.954432,-6.504913,1.123300,0.762800,0.665118,0.211614,3.753077
4.147074,-6.345410,1.079500,0.757400,0.717450,0.207108,3.793412
4.331207,-6.176151,1.047800,0.760900,0.769012,0.205444,3.830415
4.506408,-5.997664,1.025300,0.766700,0.820830,0.209159,3.859729
4.672041,-5.810267,1.003800,0.766500,0.873759,0.214344,3.876992
4.827398,-5.614272,1.006400,0.781200,0.928260,0.221758,3.877848
4.971656,-5.409975,1.016000,0.793600,0.985044,0.232650,3.857807
5.103796,-5.197646,1.032400,0.809600,1.044341,0.241905,3.811859
5.222866,-4.977724,1.040200,0.812500,1.105800,0.249983,3.734859
5.327972,-4.750801,1.051300,0.809300,1.169871,0.262857,3.621666
5.417958,-4.517475,1.070900,0.807000,1.237568,0.279070,3.467140
5.491470,-4.278452,1.108200,0.815800,1.309953,0.300482,3.266140
5.546851,-4.034595,1.104200,0.776400,1.389146,0.333727,3.013526
5.581741,-3.786977,1.118500,0.752800,1.477806,0.376512,2.707661
5.593241,-3.537161,1.149600,0.749300,1.582593,0.463623,2.370654
5.575852,-3.287739,1.141200,0.708700,1.710972,0.567353,2.034608
5.523580,-3.043467,1.072100,0.618200,1.867623,0.694101,1.731731
5.430385,-2.812143,1.016900,0.554100,2.059714,0.858743,1.493979
5.290795,-2.605900,0.965700,0.508300,2.294037,1.044329,1.352717
5.103482,-2.441848,0.947900,0.500400,2.622766,1.672793,1.339200
4.867929,-2.364441,0.992800,0.540100,3.018193,1.619505,1.472958
4.621127,-2.382022,0.974600,0.539200,-2.876603,1.611696,1.728869
4.398470,-2.491839,0.918200,0.548000,-2.543853,1.136505,2.073346
4.213599,-2.659476,0.768900,0.501400,-2.321628,0.672087,2.472509
4.059053,-2.855572,0.662100,0.510900,-2.176623,0.494632,2.889059
3.929617,-3.069426,0.585500,0.547000,-2.076666,0.307475,3.287318
3.816909,-3.292696,0.538500,0.604600,-2.014900,0.187021,3.630871
3.714736,-3.521044,0.541100,0.697000,-1.980638,0.087024,3.883414
3.617550,-3.751580,0.529900,0.753300,-1.971610,-0.014832,4.008700
3.519513,-3.981744,0.521700,0.782100,-1.988879,-0.123272,3.982380
3.414448,-4.208734,0.526100,0.784700,-2.032334,-0.224412,3.827532
3.296858,-4.429412,0.540000,0.767000,-2.098730,-0.307209,3.579096
3.162749,-4.640357,0.549600,0.735600,-2.184935,-0.383692,3.271976
3.009164,-4.837433,0.549700,0.699700,-2.290639,-0.464564,2.941029
2.833954,-5.015355,0.521500,0.657300,-2.418240,-0.561193,2.621040
2.635871,-5.167057,0.521200,0.675900,-2.560528,-0.583465,2.346697
2.417843,-5.288612,0.529900,0.729500,-2.700856,-0.545614,2.152239
2.185305,-5.379581,0.547400,0.804700,-2.834647,-0.530041,2.072453
1.942758,-5.439196,0.546200,0.857600,-2.965477,-0.521285,2.133638
1.694449,-5.466933,0.577500,0.931600,-3.094009,-0.511053,2.328197
1.444502,-5.462923,0.616100,0.988600,3.062433,-0.506455,2.639150
1.196961,-5.427470,0.675000,1.031300,2.952446,-0.375696,3.035097
0.953791,-5.368983,0.742400,1.052900,2.872274,-0.266375,3.473372
0.715023,-5.294443,0.720800,0.970000,2.815438,-0.188412,3.911012
0.480008,-5.208734,0.721200,0.894500,2.775931,-0.127571,4.305034
0.247830,-5.115564,0.715300,0.804100,2.750643,-0.074635,4.612434
0.017425,-5.018073,0.721200,0.720800,2.737707,-0.028785,4.790191
-0.212274,-4.918924,0.743500,0.650600,2.736061,0.015632,4.795300
-0.442356,-4.820676,0.779500,0.592000,2.746276,0.066029,4.604491
-0.674019,-4.726245,0.829000,0.547500,2.770270,0.125838,4.273409
-0.908517,-4.639160,0.891800,0.525700,2.809748,0.189927,3.877431
-1.146851,-4.563314,0.941200,0.505000,2.865362,0.255137,3.491900
-1.389468,-4.502821,0.999200,0.506900,2.936056,0.310875,3.192115
