x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.433582,-7.592551,0.6133,0.7867,0.059760,0.093170,3.2761
0.683118,-7.574701,0.6379,0.7621,0.083561,0.097130,3.2087
0.932146,-7.550794,0.6664,0.7336,0.108264,0.100381,3.1563
1.180494,-7.520642,0.7028,0.6972,0.133842,0.104129,3.0989
1.427972,-7.484032,0.6973,0.6058,0.160995,0.112981,2.9751
1.674316,-7.440445,0.7416,0.5584,0.190750,0.124947,2.8290
1.919176,-7.389182,0.8070,0.5302,0.225163,0.150239,2.5799
2.161935,-7.328757,0.9335,0.5643,0.266252,0.178376,2.3677
2.401754,-7.257570,0.9744,0.5323,0.312185,0.189018,2.3001
2.637928,-7.175136,1.0890,0.5868,0.362441,0.213023,2.1666
2.869356,-7.080259,1.1551,0.6085,0.418203,0.233144,2.0710
3.094845,-6.972073,1.2038,0.6331,0.476811,0.235860,2.0591
3.313562,-6.850797,1.2317,0.6559,0.534756,0.227848,2.0950
3.525023,-6.717269,1.2388,0.6703,0.590752,0.220245,2.1308
3.728818,-6.572308,1.2350,0.6815,0.645472,0.217624,2.1436
3.924435,-6.416478,1.2041,0.6725,0.699426,0.214100,2.1612
4.111442,-6.250404,1.1683,0.6621,0.751822,0.205127,2.2079
4.289698,-6.074956,1.1448,0.6600,0.802637,0.201429,2.2281
4.458901,-5.890754,1.1292,0.6599,0.853323,0.204085,2.2136
4.618493,-5.698159,1.1121,0.6521,0.904771,0.207520,2.1952
4.767887,-5.497545,1.1291,0.6698,0.957702,0.215963,2.1518
4.906240,-5.289158,1.1389,0.6726,1.013331,0.229112,2.0892
5.032443,-5.073184,1.1641,0.6913,1.071606,0.237143,2.0535
5.145636,-4.850102,1.1675,0.6834,1.132532,0.250363,1.9985
5.244653,-4.620385,1.1849,0.6808,1.196129,0.258553,1.9666
5.328621,-4.384778,1.2086,0.6804,1.262943,0.276215,1.9027
5.396133,-4.143977,1.2401,0.6832,1.335914,0.308033,1.8018
5.444926,-3.898754,1.2291,0.6399,1.418861,0.356462,1.6749
5.471732,-3.650237,1.2511,0.6323,1.515002,0.414352,1.5535
5.472762,-3.400370,1.2608,0.6172,1.629507,0.504772,1.4075
5.442471,-3.152431,1.1963,0.5362,1.779252,0.700943,1.1944
5.369828,-2.913751,1.1524,0.4854,1.993102,1.032821,0.9840
5.239808,-2.701407,1.0649,0.4056,2.255767,1.106413,0.9507
5.057778,-2.531766,1.0486,0.4007,2.598828,1.739524,0.7582
4.824128,-2.450671,1.0805,0.4464,3.053201,2.109720,0.6885
4.582049,-2.489605,1.0505,0.4558,-2.758946,1.870125,0.7312
4.377157,-2.630570,0.9333,0.4212,-2.428864,0.890909,1.0595
4.207258,-2.813531,0.7978,0.4005,-2.250531,0.551352,1.3467
4.063778,-3.018309,0.7069,0.4378,-2.145390,0.292794,1.8481
3.935590,-3.233116,0.6239,0.4879,-2.090514,0.146439,2.3274
3.815346,-3.452487,0.6097,0.6040,-2.065466,0.053864,2.7236
3.698066,-3.673465,0.5785,0.6914,-2.061777,-0.024371,3.0691
3.579440,-3.893724,0.5433,0.7558,-2.077710,-0.103019,2.7588
3.455182,-4.110846,0.5137,0.7940,-2.112881,-0.178262,2.3685
3.321377,-4.322209,0.5027,0.8123,-2.167022,-0.254897,1.9807
3.174401,-4.524605,0.4894,0.8056,-2.236852,-0.304075,1.8135
3.012526,-4.715222,0.4751,0.7916,-2.319784,-0.360187,1.6662
2.834243,-4.890483,0.4449,0.7655,-2.418061,-0.427747,1.5290
2.638412,-5.045691,0.4087,0.7533,-2.532944,-0.494172,1.4225
2.425028,-5.175668,0.4344,0.8184,-2.655059,-0.486394,1.4339
2.197539,-5.278888,0.4464,0.8754,-2.777659,-0.498211,1.4168
1.959053,-5.353158,0.4680,0.9344,-2.902793,-0.506907,1.4045
1.713094,-5.396824,0.5035,0.9904,-3.029010,-0.506833,1.4046
1.463502,-5.409185,0.5594,1.0398,3.129004,-0.498177,1.4168
1.214182,-5.390543,0.6324,1.0698,3.017713,-0.394576,1.5920
0.967813,-5.347464,0.7183,1.0795,2.936420,-0.256625,1.9740
0.724689,-5.288679,0.7120,0.9805,2.881851,-0.180012,2.3569
0.484438,-5.219009,0.7296,0.8898,2.843544,-0.126365,2.7489
0.246495,-5.141778,0.7402,0.7836,2.817577,-0.081273,3.0915
0.010164,-5.059724,0.7616,0.6841,2.801750,-0.045272,3.3999
-0.225224,-4.974997,0.7983,0.5981,2.794677,-0.011269,3.6824
-0.460373,-4.889607,0.8471,0.5248,2.797255,0.031878,3.3787
-0.696192,-4.806096,0.9067,0.4654,2.811848,0.084796,3.0683
-0.933720,-4.727609,0.9812,0.4345,2.839321,0.134895,2.7227
-1.173745,-4.657182,1.0373,0.4067,2.878382,0.177536,2.3733
-1.416627,-4.597484,1.0972,0.4078,2.929399,0.230657,2.0822
-1.662513,-4.551884,1.1495,0.4254,2.991443,0.265919,1.9392
-1.910878,-4.522709,1.1607,0.4366,3.057232,0.260668,1.9586
-2.160658,-4.509760,1.1416,0.4584,3.114498,0.197583,2.2497
-2.410817,-4.509160,1.1087,0.4862,-3.130010,0.111788,2.6575
-2.660907,-4.515555,1.0833,0.5323,-3.108033,0.063935,3.0106
-2.910862,-4.525948,1.0610,0.5980,-3.094003,0.048232,3.3264
-3.160675,-4.539356,0.9888,0.6322,-3.085108,0.022883,3.6148
-3.410408,-4.554195,0.9245,0.6834,-3.083708,-0.011690,3.8817
-3.660182,-4.568303,0.7430,0.6212,-3.090588,-0.043312,3.5024
-3.910094,-4.579703,0.5611,0.5584,-3.106325,-0.082510,3.1626
-4.160188,-4.585944,0.4960,0.5983,-3.131778,-0.121005,2.8285
-4.410354,-4.584613,0.5555,0.7493,3.115432,-0.166687,2.4493
-4.660236,-4.572859,0.5090,0.7742,3.068064,-0.212220,2.1707
-4.909118,-4.547873,0.4441,0.7559,3.010188,-0.250883,1.9965
-5.155912,-4.507348,0.4275,0.7614,2.943438,-0.283423,1.8784
-5.399178,-4.449474,0.4031,0.7414,2.868880,-0.313602,1.7857
-5.637133,-4.372760,0.4089,0.7365,2.788002,-0.334265,1.7296
-5.867834,-4.276492,0.4018,0.7056,2.702953,-0.347197,1.6971
-6.089317,-4.160631,0.4270,0.7006,2.617797,-0.335121,1.7274
-6.300374,-4.026651,0.4689,0.7142,2.538299,-0.301739,1.8205
-6.500769,-3.877148,0.4913,0.7186,2.465883,-0.278194,1.8959
-6.690313,-3.714080,0.5065,0.7317,2.398120,-0.264364,1.9449
-6.868691,-3.538852,0.5330,0.7707,2.333289,-0.254638,1.9817
-7.035574,-3.352629,0.5839,0.8446,2.270920,-0.244602,2.0219
-7.190777,-3.156554,0.5953,0.8903,2.210823,-0.236414,2.0567
-7.334137,-2.951650,0.6085,0.9474,2.152378,-0.231337,2.0791
-7.465421,-2.738801,0.6687,1.0609,2.094705,-0.230225,2.0841
-7.584250,-2.518751,0.7116,1.1624,2.038490,-0.219628,2.1338
-7.690835,-2.292496,0.7319,1.2433,1.985483,-0.204511,2.2113
-7.785722,-2.061082,0.7208,1.3033,1.932701,-0.217814,2.1427
-7.867873,-1.824858,0.7244,1.3899,1.872298,-0.265605,1.9404
-7.934173,-1.583721,0.7173,1.4681,1.793752,-0.363493,1.6586
-7.978339,-1.337632,0.6923,1.5155,1.686338,-0.498192,1.4168
-7.991691,-1.088129,0.6675,1.5398,1.547620,-0.616992,1.2731
-7.966797,-0.839726,0.6466,1.5414,1.329696,-1.155651,0.9302
-7.873929,-0.609197,0.6120,1.4978,1.001102,-1.552693,0.8025
-7.703810,-0.429153,0.4865,1.3357,0.671348,-1.160353,0.9283
-7.488483,-0.302978,0.4094,1.1934,0.459458,-0.567011,1.3280
-7.257171,-0.208168,0.4043,1.0989,0.347695,-0.330690,1.7390
-7.018680,-0.132713,0.4533,1.0467,0.281602,-0.198518,2.2417
-6.776727,-0.069180,0.5105,0.9895,0.236594,-0.161486,2.4885
-6.532403,-0.015467,0.5728,0.9272,0.199828,-0.132544,2.7468
-6.286426,0.030121,0.6348,0.8652,0.171234,-0.096094,3.0897
-6.039420,0.069784,0.6870,0.8065,0.149335,-0.078998,3.3981
