x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.440510,-7.472025,0.735101,0.664899,-0.052818,-0.392940,6.900848
0.757489,-7.505438,0.716466,0.683534,-0.052992,0.400338,6.882775
1.015248,-7.502510,0.716715,0.683285,0.032160,0.181351,6.868665
1.243573,-7.489800,0.731414,0.668586,0.071405,0.143214,6.846866
1.463292,-7.470463,0.707673,0.595427,0.100502,0.123610,6.815234
1.667536,-7.447047,0.736226,0.563774,0.106624,-0.063097,6.771476
1.903656,-7.423331,0.776617,0.560583,0.170455,0.583867,6.724191
2.138686,-7.365950,0.903762,0.594038,0.235097,-0.039256,6.670178
2.354642,-7.315308,0.934244,0.572456,0.257895,0.225811,6.602325
2.588607,-7.247275,1.040296,0.635504,0.311586,0.227888,6.530659
2.825454,-7.163670,1.098745,0.664855,0.370180,0.239346,6.451587
3.062956,-7.063194,1.139965,0.696935,0.430338,0.229247,6.363813
3.298564,-6.946498,1.159523,0.728077,0.486939,0.203309,6.265678
3.530540,-6.815626,1.156232,0.752868,0.537147,0.174893,6.156228
3.758230,-6.672740,1.138779,0.777721,0.580831,0.150652,6.035132
3.981688,-6.519512,1.089701,0.786899,0.619140,0.132337,5.905450
4.201233,-6.357051,1.030330,0.800070,0.655616,0.134502,5.778454
4.416836,-6.184838,0.978786,0.826014,0.694906,0.149460,5.646318
4.628262,-6.001072,0.932035,0.857065,0.739971,0.171007,5.495122
4.834838,-5.803187,0.882016,0.882184,0.792324,0.194082,5.307506
5.034660,-5.589005,0.865881,0.933019,0.851223,0.210869,5.063534
5.222591,-5.360705,0.843607,0.967893,0.909762,0.188679,4.790818
5.396305,-5.124024,0.834920,1.020480,0.962854,0.174240,4.527177
5.555560,-4.882205,0.800126,1.050774,1.011740,0.165251,4.299712
5.699541,-4.639339,0.773885,1.091815,1.059253,0.173327,4.122919
5.826996,-4.398695,0.749571,1.139429,1.113572,0.224460,3.984339
5.937155,-4.156380,0.730262,1.193038,1.190916,0.354157,3.857521
6.023665,-3.906128,0.671134,1.197866,1.301575,0.483693,3.727327
6.077492,-3.647765,0.654312,1.229088,1.443204,0.567622,3.581531
6.092085,-3.372803,0.641176,1.236824,1.619063,0.604855,3.404564
6.048213,-3.041633,0.581013,1.151487,1.853779,0.741336,3.171914
5.886281,-2.665054,0.582729,1.055071,2.155410,0.858675,2.872643
5.593751,-2.354909,0.571519,0.898981,2.496146,0.841049,2.610557
5.226207,-2.167989,0.645768,0.803532,2.866131,1.000947,2.458515
4.824736,-2.137549,0.764977,0.761923,-3.007725,1.172787,2.377478
4.477127,-2.268870,0.804463,0.701837,-2.598826,1.180658,2.322440
4.247380,-2.485808,0.738242,0.616258,-2.292987,0.668933,2.276634
4.087901,-2.710695,0.640846,0.557454,-2.125499,0.469824,2.231933
3.963006,-2.944776,0.583055,0.561645,-2.017265,0.338275,2.183416
3.861940,-3.182718,0.535546,0.576254,-1.937786,0.271548,2.146616
3.778650,-3.424365,0.564497,0.649203,-1.883681,0.149166,2.132234
3.704693,-3.668782,0.582417,0.687483,-1.863216,0.010920,2.133681
3.630720,-3.915746,0.598923,0.700177,-1.878673,-0.128326,2.147257
3.546990,-4.164722,0.620127,0.687573,-1.930262,-0.260248,2.171034
3.443599,-4.413683,0.655310,0.659690,-2.017546,-0.384437,2.202476
3.311176,-4.656973,0.679481,0.615519,-2.134890,-0.466080,2.238827
3.145035,-4.885596,0.690150,0.576550,-2.272526,-0.515783,2.277440
2.945405,-5.089710,0.671323,0.539077,-2.425225,-0.564384,2.316245
2.715764,-5.259346,0.632990,0.529010,-2.588292,-0.595596,2.354913
2.465887,-5.385887,0.644540,0.608260,-2.744821,-0.534568,2.394051
2.209321,-5.471542,0.635176,0.686624,-2.882619,-0.486464,2.434648
1.953349,-5.521670,0.633466,0.768934,-3.004155,-0.441224,2.477036
1.699912,-5.541998,0.647905,0.845995,-3.115611,-0.429186,2.520569
1.447498,-5.534816,0.685929,0.913271,3.059358,-0.428137,2.563815
1.197950,-5.500626,0.743858,0.958342,2.961683,-0.349648,2.607553
0.953553,-5.444979,0.816574,0.981226,2.888806,-0.230869,2.659030
0.712793,-5.375304,0.798356,0.894144,2.839655,-0.160799,2.732616
0.473948,-5.295601,0.805083,0.814317,2.805448,-0.111129,2.844986
0.236180,-5.208773,0.805692,0.718108,2.782680,-0.069044,3.014218
-0.001156,-5.117360,0.817880,0.627820,2.769127,-0.037741,3.248165
-0.238373,-5.023364,0.845947,0.550453,2.763243,-0.008494,3.511276
-0.475581,-4.928776,0.886471,0.485429,2.766042,0.030459,3.758207
-0.713128,-4.836186,0.937943,0.434157,2.780011,0.079333,3.955081
-0.951716,-4.748697,1.004193,0.411507,2.805818,0.124061,4.115298
-1.191935,-4.669087,1.051530,0.392470,2.841793,0.160542,4.261881
-1.434088,-4.599588,1.101660,0.403340,2.888014,0.206669,4.408799
-1.678536,-4.542981,1.142619,0.432281,2.943954,0.239258,4.566330
-1.925326,-4.501216,1.140721,0.456579,3.003782,0.238451,4.736378
-2.174282,-4.474226,1.107133,0.492867,3.057198,0.188280,4.908157
-2.424582,-4.458981,1.059321,0.535579,3.095494,0.117415,5.067678
-2.675456,-4.451106,1.019534,0.596066,3.120345,0.080635,5.202062
-2.926767,-4.448309,0.983983,0.675017,3.139797,0.074235,5.306419
