x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.685626,-7.449265,0.7548,0.6452,0.131554,0.121499,6.0000
1.883417,-7.420647,0.7898,0.6298,0.157047,0.133655,6.0000
2.080372,-7.386757,0.8556,0.6428,0.185982,0.155959,5.7897
2.276174,-7.346747,0.8708,0.6085,0.219297,0.177528,5.6058
2.470429,-7.299820,0.9048,0.6021,0.256796,0.197869,5.4613
2.662671,-7.245255,0.9709,0.6407,0.297790,0.212560,5.3129
2.852414,-7.182583,1.0265,0.6840,0.341138,0.221465,5.2050
3.039193,-7.111583,1.0488,0.7085,0.385742,0.225158,5.1622
3.222586,-7.032261,1.0501,0.7253,0.430528,0.223313,5.1834
3.402258,-6.944842,1.0638,0.7654,0.474665,0.218651,5.2384
3.577941,-6.849662,1.0705,0.8059,0.517810,0.213382,5.3027
3.749410,-6.747084,1.0750,0.8485,0.560055,0.209628,5.3500
3.916434,-6.637418,1.0429,0.8566,0.602006,0.210433,5.3397
4.078701,-6.520833,0.9979,0.8547,0.644109,0.211157,5.3306
4.235908,-6.397509,0.9673,0.8673,0.686208,0.210396,5.3402
4.387796,-6.267691,0.9368,0.8754,0.728439,0.212481,5.3139
4.534037,-6.131546,0.9189,0.8892,0.771400,0.217724,5.2496
4.674220,-5.989175,0.8967,0.8940,0.815466,0.223545,5.1808
4.807907,-5.840691,0.8787,0.8992,0.860676,0.229207,5.1164
4.934658,-5.686247,0.8764,0.9160,0.907053,0.235240,5.0503
5.054015,-5.526024,0.8624,0.9180,0.954708,0.242027,4.9790
5.165489,-5.360224,0.8605,0.9275,1.003754,0.249201,4.9068
5.268577,-5.189088,0.8737,0.9491,1.054378,0.257845,4.8239
5.362719,-5.012877,0.8919,0.9708,1.106862,0.267877,4.7327
5.447304,-4.831890,0.8975,0.9717,1.161353,0.277980,4.6459
5.521717,-4.646494,0.9024,0.9647,1.218003,0.289543,4.5522
5.585295,-4.457115,0.9187,0.9637,1.277193,0.303484,4.4464
5.637288,-4.264242,0.9180,0.9382,1.339348,0.319332,4.3347
5.676890,-4.068459,0.9265,0.9132,1.405089,0.339509,4.2039
5.703145,-3.870458,0.9462,0.8945,1.475553,0.366810,4.0444
