x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.440510,-7.472025,0.735101,0.664899,0.029113,0.119736,7.203727
0.753982,-7.457897,0.764136,0.635864,0.073792,0.223565,7.218765
1.007117,-7.430138,0.789543,0.610457,0.112002,0.024301,7.201194
1.233624,-7.403950,0.817839,0.582161,0.115498,0.003564,7.157501
1.452566,-7.378459,0.800301,0.502799,0.116212,0.002959,7.091793
1.658506,-7.354350,0.829361,0.470639,0.097332,-0.164059,7.007209
1.891143,-7.335637,0.865200,0.472000,0.142059,0.522379,6.906200
2.123576,-7.287835,0.983325,0.514475,0.191520,-0.102287,6.792403
2.340928,-7.248425,1.002520,0.504180,0.202863,0.195258,6.668411
2.575212,-7.194937,1.094321,0.581479,0.251386,0.217199,6.537531
2.813769,-7.126990,1.137241,0.626359,0.309491,0.250842,6.403996
3.054519,-7.041670,1.163082,0.673818,0.374969,0.263262,6.271751
3.294452,-6.937798,1.169146,0.718454,0.443217,0.260966,6.145030
3.530571,-6.815681,1.156168,0.752932,0.511845,0.257165,6.028853
3.760386,-6.676044,1.134834,0.781666,0.580948,0.258161,5.928738
3.981688,-6.519512,1.089701,0.786899,0.650882,0.259158,5.849918
4.192451,-6.346985,1.043689,0.786711,0.721095,0.257255,5.790995
4.391322,-6.159441,1.014785,0.790015,0.792054,0.262084,5.727309
4.577152,-5.957129,0.999439,0.789661,0.865679,0.273803,5.627306
4.748474,-5.739792,0.989151,0.775049,0.943342,0.288074,5.458166
4.903021,-5.507792,1.020556,0.778344,1.024562,0.299245,5.198546
5.037018,-5.265164,1.052331,0.759169,1.102732,0.269069,4.879724
5.150500,-5.018252,1.102516,0.752884,1.172690,0.246985,4.548323
5.245006,-4.770615,1.130121,0.720779,1.234975,0.222673,4.251640
5.322925,-4.524257,1.167692,0.698008,1.284148,0.155505,4.023263
5.389608,-4.280052,1.202765,0.686235,1.316371,0.097505,3.861553
5.449294,-4.038335,1.232202,0.691098,1.344186,0.127346,3.744851
5.500136,-3.800684,1.205177,0.663823,1.382994,0.194679,3.648003
5.538684,-3.567963,1.198997,0.684403,1.434628,0.239596,3.545964
5.563861,-3.335591,1.170709,0.707291,1.510459,0.388474,3.413313
5.567539,-3.090318,1.064146,0.668354,1.680022,0.923325,3.218449
5.507923,-2.825488,0.993696,0.644104,1.979510,1.385403,2.937506
5.352828,-2.594566,0.911342,0.559158,2.360756,1.488361,2.660163
5.122191,-2.443259,0.940035,0.509265,2.786642,1.724340,2.476677
4.851078,-2.408593,1.037297,0.489603,-3.037997,1.926630,2.368216
4.615424,-2.495946,1.070338,0.435962,-2.584044,1.801294,2.294698
4.448968,-2.659324,1.004223,0.350277,-2.273001,0.790918,2.237486
4.313870,-2.852366,0.907553,0.290747,-2.126076,0.454641,2.186145
4.196516,-3.066248,0.846270,0.298430,-2.047096,0.204861,2.135315
4.087744,-3.290665,0.785826,0.325974,-2.014323,0.061540,2.100647
3.980795,-3.520306,0.788254,0.425446,-2.012309,-0.044105,2.092907
3.869834,-3.751725,0.767216,0.502684,-2.035353,-0.134257,2.105538
3.749305,-3.982236,0.734876,0.564224,-2.081608,-0.220353,2.134915
3.613871,-4.208454,0.700036,0.607664,-2.150325,-0.300656,2.179398
3.458967,-4.425842,0.674906,0.640094,-2.241138,-0.381966,2.237494
3.281470,-4.627724,0.637792,0.657208,-2.349891,-0.433009,2.307744
3.082339,-4.807248,0.589804,0.676896,-2.468601,-0.459394,2.388702
2.865411,-4.959379,0.518401,0.691999,-2.593413,-0.490070,2.478981
2.635500,-5.080089,0.436584,0.725416,-2.723156,-0.517189,2.577109
2.398574,-5.166981,0.415518,0.837282,-2.846088,-0.460095,2.681597
2.161364,-5.224425,0.383447,0.938353,-2.953087,-0.416043,2.790944
1.927212,-5.256903,0.367411,1.034989,-3.046709,-0.372272,2.903682
1.696475,-5.268668,0.374554,1.119346,-3.132838,-0.369080,3.018409
1.467641,-5.260926,0.411300,1.187900,3.064237,-0.377793,3.133853
1.238475,-5.233169,0.473347,1.228853,2.987176,-0.286647,3.248904
1.006063,-5.189079,0.555342,1.242458,2.934954,-0.158102,3.362526
0.769745,-5.134908,0.551306,1.141194,2.904571,-0.094771,3.473476
0.530700,-5.074249,0.576573,1.042827,2.886145,-0.055545,3.580375
0.289430,-5.009473,0.599401,0.924399,2.876039,-0.025837,3.681838
0.046358,-4.942519,0.636698,0.809002,2.871821,-0.007809,3.776472
-0.197973,-4.874700,0.691891,0.704509,2.871923,0.008535,3.862854
-0.443236,-4.807194,0.760661,0.611239,2.877396,0.034496,3.939527
-0.689323,-4.741780,0.840582,0.531518,2.890594,0.069320,4.005313
-0.936120,-4.680816,0.934543,0.481157,2.912008,0.099465,4.060393
