x_m,y_m
-14.891000,-14.574000
-14.891000,-14.524000
-14.891000,-14.474000
-14.891000,-14.424000
-14.891000,-14.374000
-14.891000,-14.324000
-14.891000,-14.274000
-14.891000,-14.224000
-14.891000,-14.174000
-14.891000,-14.124000
-14.891000,-14.074000
-14.891000,-14.024000
-14.891000,-13.974000
-14.891000,-13.924000
-14.891000,-13.874000
-14.891000,-13.824000
-14.891000,-13.774000
-14.891000,-13.724000
-14.891000,-13.674000
-14.891000,-13.624000
-14.891000,-13.574000
-14.891000,-13.524000
-14.891000,-13.474000
-14.891000,-13.424000
-14.891000,-13.374000
-14.891000,-13.324000
-14.891000,-13.274000
-14.891000,-13.224000
-14.891000,-13.174000
-14.891000,-13.124000
-14.891000,-13.074000
-14.891000,-13.024000
-14.891000,-12.974000
-14.891000,-12.924000
-14.891000,-12.874000
-14.891000,-12.824000
-14.891000,-12.774000
-14.891000,-12.724000
-14.891000,-12.674000
-14.891000,-12.624000
-14.891000,-12.574000
-14.891000,-12.524000
-14.891000,-12.474000
-14.891000,-12.424000
-14.891000,-12.374000
-14.891000,-12.324000
-14.891000,-12.274000
-14.891000,-12.224000
-14.891000,-12.174000
-14.891000,-12.124000
-14.891000,-12.074000
-14.891000,-12.024000
-14.891000,-11.974000
-14.891000,-11.924000
-14.891000,-11.874000
-14.891000,-11.824000
-14.891000,-11.774000
-14.891000,-11.724000
-14.891000,-11.674000
-14.891000,-11.624000
-14.891000,-11.574000
-14.891000,-11.524000
-14.891000,-11.474000
-14.891000,-11.424000
-14.891000,-11.374000
-14.891000,-11.324000
-14.891000,-11.274000
-14.891000,-11.224000
-14.891000,-11.174000
-14.891000,-11.124000
-14.891000,-11.074000
-14.891000,-11.024000
-14.891000,-10.974000
-14.891000,-10.924000
-14.891000,-10.874000
-14.891000,-10.824000
-14.891000,-10.774000
-14.891000,-10.724000
-14.891000,-10.674000
-14.891000,-10.624000
-14.891000,-10.574000
-14.891000,-10.524000
-14.891000,-10.474000
-14.891000,-10.424000
-14.891000,-10.374000
-14.891000,-10.324000
-14.891000,-10.274000
-14.891000,-10.224000
-14.891000,-10.174000
-14.891000,-10.124000
-14.891000,-10.074000
-14.891000,-10.024000
-14.891000,-9.974000
-14.891000,-9.924000
-14.891000,-9.874000
-14.891000,-9.824000
-14.891000,-9.774000
-14.891000,-9.724000
-14.891000,-9.674000
-14.891000,-9.624000
-14.891000,-9.574000
-14.891000,-9.524000
-14.891000,-9.474000
-14.891000,-9.424000
-14.891000,-9.374000
-14.891000,-9.324000
-14.891000,-9.274000
-14.891000,-9.224000
-14.891000,-9.174000
-14.891000,-9.124000
-14.891000,-9.074000
-14.891000,-9.024000
-14.891000,-8.974000
-14.891000,-8.924000
-14.891000,-8.874000
-14.891000,-8.824000
-14.891000,-8.774000
-14.891000,-8.724000
-14.891000,-8.674000
-14.891000,-8.624000
-14.891000,-8.574000
-14.891000,-8.524000
-14.891000,-8.474000
-14.891000,-8.424000
-14.891000,-8.374000
-14.891000,-8.324000
-14.891000,-8.274000
-14.891000,-8.224000
-14.891000,-8.174000
-14.891000,-8.124000
-14.891000,-8.074000
-14.891000,-8.024000
-14.891000,-7.974000
-14.891000,-7.924000
-14.891000,-7.874000
