x_m,y_m
-4.141000,-6.924000
-4.091000,-6.974000
-4.041000,-6.974000
-3.991000,-6.924000
-4.041000,-6.874000
-4.091000,-6.824000
-4.141000,-6.774000
-4.191000,-6.774000
-4.241000,-6.724000
-4.291000,-6.724000
-4.341000,-6.674000
-4.391000,-6.624000
-4.441000,-6.624000
-4.491000,-6.574000
-4.541000,-6.574000
-4.591000,-6.524000
-4.641000,-6.524000
-4.691000,-6.474000
-4.741000,-6.424000
-4.791000,-6.424000
-4.841000,-6.374000
-4.891000,-6.324000
-4.941000,-6.324000
-4.991000,-6.324000
-5.041000,-6.274000
-5.091000,-6.224000
-5.141000,-6.174000
-5.191000,-6.174000
-5.241000,-6.124000
-5.291000,-6.124000
-5.341000,-6.074000
-5.391000,-6.024000
-5.441000,-6.024000
-5.491000,-6.024000
-5.541000,-5.974000
-5.591000,-5.924000
-5.641000,-5.924000
-5.691000,-5.874000
-5.741000,-5.874000
-5.791000,-5.824000
-5.841000,-5.774000
-5.891000,-5.774000
-5.941000,-5.724000
-5.991000,-5.724000
-6.041000,-5.674000
-6.091000,-5.624000
-6.141000,-5.624000
-6.191000,-5.574000
-6.241000,-5.524000
-6.291000,-5.524000
-6.341000,-5.474000
-6.391000,-5.424000
-6.441000,-5.424000
-6.491000,-5.374000
-6.541000,-5.324000
-6.591000,-5.324000
-6.641000,-5.274000
-6.691000,-5.224000
-6.741000,-5.174000
-6.791000,-5.124000
-6.841000,-5.124000
-6.891000,-5.074000
-6.941000,-5.024000
-6.991000,-4.974000
-7.041000,-4.974000
-7.091000,-4.924000
-7.141000,-4.874000
-7.191000,-4.824000
-7.241000,-4.774000
-7.291000,-4.774000
-7.341000,-4.724000
-7.391000,-4.674000
-7.441000,-4.624000
-7.491000,-4.574000
-7.541000,-4.524000
-7.591000,-4.474000
-7.641000,-4.424000
-7.691000,-4.374000
-7.741000,-4.324000
-7.791000,-4.274000
-7.791000,-4.224000
-7.841000,-4.174000
-7.891000,-4.174000
-7.891000,-4.124000
-7.941000,-4.074000
-7.991000,-4.024000
-8.041000,-3.974000
-8.041000,-3.924000
-8.091000,-3.874000
-8.141000,-3.824000
-8.191000,-3.774000
-8.191000,-3.724000
-8.241000,-3.674000
-8.291000,-3.624000
-8.341000,-3.574000
-8.391000,-3.524000
-8.441000,-3.524000
-8.441000,-3.474000
-8.441000,-3.424000
-8.441000,-3.374000
-8.441000,-3.324000
-8.441000,-3.274000
-8.491000,-3.224000
-8.491000,-3.174000
-8.491000,-3.124000
-8.491000,-3.074000
-8.541000,-3.024000
-8.541000,-2.974000
-8.541000,-2.924000
-8.591000,-2.874000
-8.591000,-2.824000
-8.591000,-2.774000
-8.641000,-2.724000
-8.641000,-2.674000
-8.641000,-2.624000
-8.641000,-2.574000
-8.641000,-2.524000
-8.641000,-2.474000
-8.691000,-2.424000
-8.691000,-2.374000
-8.691000,-2.324000
-8.691000,-2.274000
-8.691000,-2.224000
-8.741000,-2.174000
-8.741000,-2.124000
-8.741000,-2.074000
-8.741000,-2.024000
-8.741000,-1.974000
-8.791000,-1.924000
-8.791000,-1.874000
-8.791000,-1.824000
-8.791000,-1.774000
-8.791000,-1.724000
-8.841000,-1.674000
-8.841000,-1.624000
-8.841000,-1.574000
-8.841000,-1.524000
-8.891000,-1.474000
-8.891000,-1.424000
-8.891000,-1.374000
-8.891000,-1.324000
-8.891000,-1.274000
-8.891000,-1.224000
-8.891000,-1.174000
-8.941000,-1.124000
-8.941000,-1.074000
-8.941000,-1.024000
-8.941000,-0.974000
-8.941000,-0.924000
-8.941000,-0.874000
-8.941000,-0.824000
-8.941000,-0.774000
-8.991000,-0.724000
-8.991000,-0.674000
-8.991000,-0.624000
-8.991000,-0.574000
-8.991000,-0.524000
-8.991000,-0.474000
-8.991000,-0.424000
-8.991000,-0.374000
