x_m,y_m,w_tr_right_m,w_tr_left_m
-5.897000,-3.738118,0.7689,0.7689
-5.847000,-3.737759,0.7591,0.7591
-5.797000,-3.732921,0.7492,0.7492
-5.747000,-3.727952,0.7394,0.7394
-5.697000,-3.720220,0.7295,0.7295
-5.647000,-3.714565,0.7197,0.7197
-5.597000,-3.704333,0.6598,0.6598
-5.547000,-3.692973,0.6500,0.6500
-5.497000,-3.679586,0.6500,0.6500
-5.447000,-3.663437,0.6500,0.6500
-5.397000,-3.643954,0.6000,0.6000
-5.344205,-3.620727,0.6098,0.6098
-5.292963,-3.598024,0.5697,0.5697
-5.240315,-3.573130,0.5795,0.5795
-5.187651,-3.546291,0.5394,0.5394
-5.138991,-3.513404,0.5492,0.5492
-5.093845,-3.477674,0.5395,0.5395
-5.048929,-3.439671,0.4997,0.4997
-5.005303,-3.400132,0.4900,0.4900
-4.963868,-3.355444,0.4900,0.4900
-4.928154,-3.309302,0.5298,0.5298
-4.894385,-3.262767,0.5094,0.5094
-4.863133,-3.212554,0.4997,0.4997
-4.837602,-3.162685,0.5094,0.5094
-4.813688,-3.110037,0.4894,0.4894
-4.791639,-3.058795,0.5295,0.5295
-4.774329,-3.006000,0.5094,0.5094
-4.757330,-2.956000,0.4894,0.4894
-4.743355,-2.906000,0.5295,0.5295
-4.730606,-2.856000,0.5094,0.5094
-4.714489,-2.806000,0.4894,0.4894
-4.697556,-2.756000,0.4795,0.4795
-4.679560,-2.706000,0.5197,0.5197
-4.657461,-2.656000,0.5098,0.5098
-4.638157,-2.606000,0.5500,0.5500
-4.618608,-2.556000,0.5500,0.5500
-4.595774,-2.506000,0.6000,0.6000
-4.572041,-2.456000,0.6000,0.6000
-4.547000,-2.406000,0.6000,0.6000
-4.521959,-2.356000,0.6500,0.6500
-4.501021,-2.306000,0.6500,0.6500
-4.479429,-2.256000,0.7000,0.7000
-4.459733,-2.206000,0.7000,0.7000
-4.441851,-2.156000,0.7500,0.7500
-4.418559,-2.106000,0.7500,0.7500
-4.397082,-2.056000,0.7500,0.7500
-4.374705,-2.006000,0.7992,0.7992
-4.351511,-1.956000,0.7894,0.7894
-4.327582,-1.906000,0.8295,0.8295
-4.300204,-1.856000,0.8197,0.8197
-4.272090,-1.806000,0.8598,0.8598
-4.245954,-1.756000,0.9000,0.9000
-4.214571,-1.706000,0.9000,0.9000
-4.185166,-1.656000,0.9500,0.9500
-4.155025,-1.606000,0.9500,0.9500
-4.124231,-1.556000,1.0000,1.0000
-4.092865,-1.506000,1.0500,1.0500
-4.065519,-1.456000,1.0500,1.0500
-4.035133,-1.406000,1.1000,1.1000
-4.009095,-1.356000,1.1000,1.1000
-3.987651,-1.303205,1.1500,1.1500
-3.966696,-1.251963,1.1492,1.1492
-3.944924,-1.199315,1.1894,1.1894
-3.921027,-1.146651,1.1795,1.1795
-3.893698,-1.095196,1.2197,1.2197
-3.866140,-1.048808,1.2098,1.2098
-3.834414,-1.004039,1.2500,1.2500
-3.801887,-0.961786,1.2500,1.2500
-3.764784,-0.925582,1.3000,1.3000
-3.726634,-0.891649,1.3500,1.3500
-3.688337,-0.863355,1.3894,1.3894
-3.646444,-0.836762,1.3295,1.3295
-3.600302,-0.812277,1.3295,1.3295
-3.553767,-0.792940,1.2697,1.2697
-3.503554,-0.774486,1.2598,1.2598
-3.453685,-0.759792,1.2500,1.2500
-3.401037,-0.744428,1.1986,1.1986
-3.349795,-0.728311,1.1684,1.1684
-3.297000,-0.713993,1.1484,1.1484
-3.247000,-0.696716,1.0886,1.0886
-3.197000,-0.676072,1.0788,1.0788
-3.147000,-0.658795,1.0689,1.0689
-3.097000,-0.637170,1.0091,1.0091
-3.047000,-0.617932,0.9992,0.9992
-2.997000,-0.597876,0.9394,0.9394
-2.947000,-0.578311,0.9295,0.9295
-2.897000,-0.558828,0.9197,0.9197
-2.847000,-0.539017,0.8598,0.8598
-2.797000,-0.520188,0.8500,0.8500
-2.747000,-0.501930,0.8000,0.8000
-2.697000,-0.483836,0.8000,0.8000
-2.647000,-0.465497,0.8000,0.8000
-2.597000,-0.446503,0.7500,0.7500
-2.547000,-0.430959,0.7500,0.7500
-2.497000,-0.414107,0.7500,0.7500
-2.447000,-0.395703,0.7000,0.7000
-2.397000,-0.375500,0.7098,0.7098
-2.347000,-0.353254,0.6697,0.6697
-2.297000,-0.333231,0.6795,0.6795
-2.247000,-0.310838,0.6894,0.6894
-2.197000,-0.285993,0.6492,0.6492
-2.147000,-0.263127,0.6591,0.6591
-2.097000,-0.235013,0.6394,0.6394
-2.047000,-0.208877,0.6492,0.6492
-1.997000,-0.177494,0.6192,0.6192
-1.947000,-0.145294,0.5992,0.5992
-1.897000,-0.113911,0.6192,0.6192
-1.847000,-0.080469,0.5894,0.5894
-1.797000,-0.049233,0.5492,0.5492
-1.747000,-0.021675,0.5500,0.5500
-1.697000,0.005246,0.5000,0.5000
-1.647000,0.027426,0.5000,0.5000
-1.597000,0.048070,0.4500,0.4500
-1.547000,0.063238,0.4500,0.4500
-1.497000,0.076298,0.4500,0.4500
-1.447000,0.087985,0.4500,0.4500
-1.397000,0.094686,0.4000,0.4000
-1.347000,0.097302,0.4000,0.4000
-1.297000,0.096730,0.4000,0.4000
-1.247000,0.096664,0.4000,0.4000
-1.197000,0.098168,0.4000,0.4000
-1.147000,0.097956,0.4098,0.4098
-1.097000,0.100048,0.4098,0.4098
-1.047000,0.101323,0.4000,0.4000
-0.997000,0.105965,0.4000,0.4000
-0.947000,0.111015,0.4000,0.4000
-0.897000,0.116311,0.4000,0.4000
-0.847000,0.121689,0.4000,0.4000
-0.797000,0.126985,0.4000,0.4000
-0.747000,0.132035,0.4000,0.4000
-0.697000,0.139472,0.4000,0.4000
-0.647000,0.144785,0.4500,0.4500
-0.597000,0.147972,0.4500,0.4500
-0.547000,0.149034,0.4598,0.4598
-0.497000,0.147972,0.4697,0.4697
-0.447000,0.144785,0.4795,0.4795
-0.397000,0.139472,0.4394,0.4394
-0.347000,0.132035,0.4598,0.4598
-0.297000,0.129780,0.4697,0.4697
-0.247000,0.125726,0.4795,0.4795
-0.197000,0.120201,0.4894,0.4894
-0.147000,0.113533,0.5000,0.5000
-0.097000,0.106046,0.5000,0.5000
-0.047000,0.098070,0.5000,0.5000
0.003000,0.089930,0.4894,0.4894
0.053000,0.081954,0.5094,0.5094
0.103000,0.074467,0.5197,0.5197
0.153000,0.067799,0.5197,0.5197
0.203000,0.062274,0.5098,0.5098
0.253000,0.058220,0.5000,0.5000
0.303000,0.055965,0.5000,0.5000
0.353000,0.051323,0.5000,0.5000
0.403000,0.047253,0.5000,0.5000
0.453000,0.043918,0.5098,0.5098
0.503000,0.041483,0.5197,0.5197
0.553000,0.040110,0.5295,0.5295
0.603000,0.039963,0.5394,0.5394
0.653000,0.041205,0.5492,0.5492
0.703000,0.041205,0.5500,0.5500
0.753000,0.039963,0.5500,0.5500
0.803000,0.040110,0.5500,0.5500
0.853000,0.041483,0.5492,0.5492
0.903000,0.043918,0.5394,0.5394
0.953000,0.047253,0.5000,0.5000
1.003000,0.048528,0.5000,0.5000
1.053000,0.049132,0.5000,0.5000
1.103000,0.050293,0.5098,0.5098
1.153000,0.053072,0.5197,0.5197
1.205795,0.058367,0.5295,0.5295
1.259832,0.066916,0.5197,0.5197
1.310927,0.079289,0.5098,0.5098
1.362202,0.095896,0.5492,0.5492
1.412431,0.116981,0.5394,0.5394
1.460551,0.142627,0.5295,0.5295
1.505664,0.172751,0.5697,0.5697
1.547034,0.207109,0.5998,0.5998
1.584089,0.245291,0.6095,0.6095
1.619214,0.286726,0.6494,0.6494
1.647819,0.330679,0.6192,0.6192
1.669983,0.380760,0.6492,0.6492
1.688747,0.433278,0.6394,0.6394
1.700172,0.487168,0.6192,0.6192
1.707789,0.541205,0.6492,0.6492
1.708149,0.594000,0.6394,0.6394
1.705272,0.644000,0.6295,0.6295
1.696200,0.694000,0.5697,0.5697
1.685445,0.744000,0.5598,0.5598
1.673333,0.796795,0.5500,0.5500
1.660519,0.848037,0.5598,0.5598
1.643471,0.900685,0.5197,0.5197
1.621617,0.950554,0.5295,0.5295
1.599061,1.000767,0.4894,0.4894
1.572925,1.047302,0.5094,0.5094
1.543291,1.093444,0.4695,0.4695
1.510404,1.138132,0.4894,0.4894
1.474674,1.180466,0.4695,0.4695
1.436671,1.216916,0.4598,0.4598
1.397132,1.251257,0.4598,0.4598
1.352444,1.280123,0.4297,0.4297
1.306302,1.307452,0.4695,0.4695
1.259767,1.332836,0.4394,0.4394
1.209554,1.356030,0.4695,0.4695
1.159685,1.376952,0.4394,0.4394
1.107037,1.395684,0.4795,0.4795
1.055795,1.412470,0.4697,0.4697
1.003000,1.427720,0.4500,0.4500
0.953000,1.439211,0.4500,0.4500
0.903000,1.452025,0.5000,0.5000
0.853000,1.462388,0.5000,0.5000
0.803000,1.473830,0.5000,0.5000
0.753000,1.482738,0.5000,0.5000
0.703000,1.490012,0.5000,0.5000
0.653000,1.496550,0.5500,0.5500
0.603000,1.506046,0.5500,0.5500
0.553000,1.515053,0.5500,0.5500
0.503000,1.522915,0.5500,0.5500
0.453000,1.528979,0.5500,0.5500
0.403000,1.537102,0.5500,0.5500
0.353000,1.544000,0.5492,0.5492
0.303000,1.553693,0.5795,0.5795
0.253000,1.563059,0.5795,0.5795
0.203000,1.571771,0.5697,0.5697
0.153000,1.579502,0.5598,0.5598
0.103000,1.585925,0.5500,0.5500
0.053000,1.587920,0.5492,0.5492
0.003000,1.592300,0.5394,0.5394
-0.047000,1.594229,0.5795,0.5795
-0.097000,1.597890,0.5697,0.5697
-0.147000,1.600326,0.5598,0.5598
-0.197000,1.601372,0.5500,0.5500
-0.247000,1.600865,0.5500,0.5500
-0.297000,1.598642,0.5500,0.5500
-0.347000,1.599051,0.5500,0.5500
-0.397000,1.599296,0.5500,0.5500
-0.447000,1.599378,0.5500,0.5500
-0.497000,1.599296,0.5500,0.5500
-0.547000,1.599051,0.5500,0.5500
-0.597000,1.598642,0.5500,0.5500
-0.647000,1.598070,0.5500,0.5500
-0.697000,1.600129,0.5598,0.5598
-0.747000,1.600473,0.5697,0.5697
-0.797000,1.599263,0.5795,0.5795
-0.847000,1.596664,0.5697,0.5697
-0.897000,1.592839,0.5492,0.5492
-0.947000,1.587952,0.5500,0.5500
-0.997000,1.586677,0.5500,0.5500
-1.047000,1.584830,0.5598,0.5598
-1.097000,1.581022,0.5697,0.5697
-1.147000,1.575579,0.5795,0.5795
-1.197000,1.568828,0.5795,0.5795
-1.247000,1.563892,0.5697,0.5697
-1.297000,1.556749,0.5598,0.5598
-1.347000,1.547890,0.5500,0.5500
-1.397000,1.537805,0.5894,0.5894
-1.447000,1.526985,0.5894,0.5894
-1.497000,1.515919,0.5795,0.5795
-1.547000,1.505098,0.5697,0.5697
-1.597000,1.495013,0.5598,0.5598
-1.647000,1.486154,0.5500,0.5500
-1.697000,1.479011,0.5500,0.5500
-1.747000,1.469564,0.5500,0.5500
-1.797000,1.460934,0.5500,0.5500
-1.847000,1.453448,0.5500,0.5500
-1.897000,1.447432,0.5500,0.5500
-1.947000,1.443215,0.5000,0.5000
-1.997000,1.441123,0.5000,0.5000
-2.047000,1.441483,0.5000,0.5000
-2.097000,1.440110,0.5098,0.5098
-2.147000,1.439963,0.5197,0.5197
-2.197000,1.441205,0.5295,0.5295
-2.247000,1.444000,0.5394,0.5394
-2.297000,1.444000,0.5492,0.5492
-2.347000,1.444000,0.5794,0.5794
-2.397000,1.444000,0.5894,0.5894
-2.447000,1.444000,0.5992,0.5992
-2.497000,1.444000,0.6000,0.6000
-2.547000,1.444000,0.6098,0.6098
-2.597000,1.441205,0.6197,0.6197
-2.647000,1.439963,0.6295,0.6295
-2.697000,1.437315,0.6192,0.6192
-2.747000,1.437446,0.5992,0.5992
-2.797000,1.440028,0.5894,0.5894
-2.847000,1.444736,0.6295,0.6295
-2.897000,1.451241,0.6197,0.6197
-2.947000,1.459217,0.6098,0.6098
-2.997000,1.468338,0.6000,0.6000
-3.047000,1.478276,0.6000,0.6000
-3.097000,1.485909,0.5992,0.5992
-3.147000,1.495259,0.6394,0.6394
-3.197000,1.505834,0.6295,0.6295
-3.247000,1.517145,0.6197,0.6197
-3.297000,1.528701,0.6098,0.6098
-3.347000,1.540012,0.5992,0.5992
-3.397000,1.550587,0.6394,0.6394
-3.447000,1.557142,0.6295,0.6295
-3.497000,1.563533,0.6197,0.6197
-3.547000,1.569106,0.6098,0.6098
-3.597000,1.573209,0.6000,0.6000
-3.647000,1.579698,0.6000,0.6000
-3.697000,1.585288,0.6000,0.6000
-3.747000,1.594000,0.6000,0.6000
-3.797000,1.602712,0.6492,0.6492
-3.847000,1.608302,0.6394,0.6394
-3.897000,1.614791,0.6295,0.6295
-3.947000,1.621689,0.6197,0.6197
-3.997000,1.628505,0.6098,0.6098
-4.047000,1.634749,0.6000,0.6000
-4.097000,1.639930,0.6000,0.6000
-4.147000,1.648070,0.6500,0.6500
-4.197000,1.656046,0.6500,0.6500
-4.247000,1.660737,0.6500,0.6500
-4.297000,1.666164,0.6500,0.6500
-4.347000,1.671836,0.6500,0.6500
-4.397000,1.677263,0.6500,0.6500
-4.447000,1.681954,0.6500,0.6500
-4.497000,1.689930,0.6500,0.6500
-4.547000,1.698070,0.7000,0.7000
-4.597000,1.706046,0.7000,0.7000
-4.647000,1.713533,0.7098,0.7098
-4.697000,1.717406,0.7197,0.7197
-4.747000,1.721689,0.7295,0.7295
-4.797000,1.725890,0.7394,0.7394
