x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-5.889130,-3.571886,0.9353,0.6025,-0.137205,1.492982,1.4175
-5.639042,-3.561297,0.8482,0.5561,0.139810,0.785928,1.8738
-5.395979,-3.502486,0.7184,0.4635,0.339785,0.827556,1.9040
-5.170375,-3.395625,0.6283,0.4152,0.559023,0.946846,1.7800
-4.975918,-3.239700,0.5700,0.4261,0.778097,0.824876,1.9071
-4.816612,-3.046991,0.5252,0.4831,0.942818,0.503116,2.2665
-4.682424,-2.835450,0.4742,0.5457,1.045044,0.315841,2.5769
-4.565282,-2.613831,0.4901,0.6279,1.111179,0.212495,2.8538
-4.460070,-2.386225,0.5774,0.7229,1.152080,0.113926,3.1062
-4.361383,-2.155666,0.6767,0.8174,1.168267,0.015197,3.3397
-4.263574,-1.924727,0.7732,0.8963,1.159347,-0.086349,3.5000
-4.160801,-1.695990,0.8903,0.9713,1.126119,-0.178775,3.2458
-4.047912,-1.472139,1.0192,1.0684,1.070522,-0.265127,2.8918
-3.920469,-1.256352,1.1079,1.1923,0.987531,-0.398540,2.6190
-3.772342,-1.054510,1.1873,1.3277,0.867906,-0.560031,2.3145
-3.597648,-0.875326,1.2340,1.3276,0.731843,-0.530984,2.3769
-3.400689,-0.720675,1.2173,1.1700,0.625913,-0.317421,2.6744
-3.191862,-0.581994,1.1442,0.9742,0.554765,-0.251167,2.9422
-2.974728,-0.456715,1.0372,0.7904,0.493884,-0.234917,3.1876
-2.750583,-0.344415,0.9477,0.6495,0.438186,-0.209707,3.4154
-2.520831,-0.244035,0.8806,0.5522,0.386650,-0.201629,3.5000
-2.286296,-0.155383,0.8236,0.5129,0.338905,-0.179386,3.5000
-2.047987,-0.077355,0.7321,0.5132,0.297612,-0.150092,3.5000
-1.806905,-0.008344,0.5910,0.5022,0.252237,-0.212046,3.4587
-1.562581,0.047747,0.4710,0.4761,0.189759,-0.286845,3.2340
-1.314910,0.086154,0.4123,0.4231,0.113001,-0.326414,3.0316
-1.064961,0.104220,0.4000,0.4000,0.078510,0.050715,3.2702
-0.815183,0.125468,0.4000,0.4000,0.065980,-0.150783,3.4370
-0.564911,0.137261,0.4425,0.4531,0.010652,-0.290997,3.2108
-0.314301,0.130803,0.4792,0.4808,-0.045961,-0.161142,3.4371
-0.064074,0.114226,0.5065,0.4775,-0.070190,-0.032196,3.5000
0.186035,0.095627,0.5268,0.4708,-0.062211,0.095847,3.3789
0.436484,0.083045,0.5517,0.4787,-0.021919,0.225738,2.9298
0.687152,0.084641,0.5853,0.4967,0.050983,0.356780,2.4411
0.936531,0.108561,0.5793,0.4537,0.162665,0.537951,2.0888
1.180131,0.165546,0.6167,0.4083,0.354574,1.015362,1.6918
1.401013,0.280522,0.7073,0.4165,0.734941,2.192904,1.1696
1.535264,0.486535,0.7880,0.4854,1.234643,2.046587,1.2107
1.559130,0.733042,0.7121,0.4667,1.639170,1.355225,1.4878
1.501796,0.975260,0.5946,0.4120,1.957089,1.260464,1.5427
1.373745,1.188838,0.5137,0.4000,2.262809,1.240885,1.5549
1.187267,1.354792,0.4502,0.4357,2.516787,0.825547,1.9063
0.970375,1.479745,0.4291,0.5192,2.689149,0.562982,2.2662
0.737975,1.573181,0.4281,0.6076,2.817298,0.464118,2.5424
0.496268,1.639121,0.4299,0.6609,2.927021,0.414018,2.6919
0.248987,1.679744,0.4476,0.6767,3.020585,0.334128,2.9580
-0.000888,1.699577,0.4638,0.6820,3.095686,0.265875,3.2021
-0.251567,1.702739,0.4519,0.6614,-3.126876,0.218152,3.4290
-0.502078,1.692200,0.4566,0.6434,-3.079320,0.161386,3.5000
-0.751992,1.671536,0.4944,0.6411,-3.046531,0.100205,3.5000
-1.001330,1.644597,0.5104,0.6250,-3.028692,0.042076,3.5000
-1.250379,1.615027,0.5046,0.6117,-3.025278,-0.014848,3.5000
-1.499537,1.586386,0.4926,0.6321,-3.036785,-0.076924,3.5000
-1.749185,1.562556,0.4632,0.6466,-3.064046,-0.140536,3.5000
-1.999494,1.547538,0.4145,0.6183,-3.105674,-0.191611,3.5000
-2.250217,1.544552,0.4439,0.6466,3.131069,-0.178968,3.5000
-2.500837,1.552814,0.4900,0.7092,3.087943,-0.165145,3.5000
-2.750903,1.571440,0.4775,0.7367,3.048021,-0.153363,3.5000
-3.000083,1.599666,0.4733,0.7281,3.015148,-0.108875,3.5000
-3.248416,1.634685,0.4924,0.7192,2.997205,-0.034239,3.5000
-3.496449,1.671837,0.4975,0.7176,2.996453,0.028242,3.5000
-3.744737,1.707231,0.5290,0.7506,3.011250,0.089768,3.5000
-3.993748,1.737026,0.5007,0.7175,3.041569,0.152087,3.5000
-4.243693,1.757306,0.5431,0.7374,3.087230,0.212267,3.4726
-4.494335,1.764266,0.6177,0.7621,-3.135267,0.272225,2.7678
-4.744825,1.754135,0.6979,0.7658,-3.059691,0.331470,2.2953
-4.993557,1.723287,0.8760,0.8007,-2.938030,0.644777,1.9402
-5.233567,1.653249,1.0278,0.8109,-2.696334,1.324857,1.5048
-5.437989,1.511195,0.8705,0.6671,-2.396589,1.117588,1.6384
-5.597126,1.317935,0.6899,0.5761,-2.191179,0.548741,2.0461
-5.728523,1.104562,0.6048,0.5907,-2.077250,0.363690,2.3854
-5.840034,0.880037,0.5542,0.6550,-1.997083,0.276889,2.6822
-5.935734,0.648285,0.5001,0.7065,-1.933273,0.232564,2.9493
-6.017783,0.411328,0.4547,0.7425,-1.879396,0.197423,3.1942
-6.088016,0.170588,0.4137,0.7741,-1.833936,0.165303,3.4217
-6.148216,-0.072858,0.4035,0.8049,-1.795125,0.144309,3.5000
-6.199573,-0.318332,0.4241,0.8400,-1.763676,0.106549,3.5000
-6.244355,-0.565097,0.4139,0.8496,-1.740940,0.074794,3.5000
-6.284501,-0.812661,0.4005,0.8657,-1.724463,0.056607,3.5000
-6.321128,-1.060768,0.4100,0.8947,-1.707245,0.080713,3.5000
-6.352726,-1.309562,0.4392,0.9032,-1.685093,0.095961,3.5000
-6.378328,-1.559038,0.4506,0.8853,-1.657793,0.121791,3.5000
-6.396301,-1.809178,0.4588,0.8384,-1.626780,0.125587,3.5000
-6.406389,-2.059756,0.4954,0.7958,-1.593121,0.142907,3.5000
-6.407495,-2.310530,0.5692,0.7881,-1.553070,0.176622,3.5000
-6.397501,-2.561106,0.6087,0.7459,-1.503759,0.216841,3.2930
-6.373910,-2.810774,0.6357,0.6933,-1.447779,0.229897,2.1749
-6.335981,-3.058672,0.7695,0.7072,-1.371115,0.382929,1.7960
-6.274603,-3.301470,0.8664,0.6205,-1.117648,1.741250,1.3126
-6.123825,-3.494361,0.9708,0.6255,-0.611742,2.573369,1.0797
